source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06798b_077894-2026,UK_1003 Global Evaluation Framework Retender 2026,"the British Council is looking for multiple providers to join its 2026 Global Evaluation Framework. This framework will replace the 2022 Global Evaluation Framework, which is due to expire in 2026. This global framework will be the British Council's primary route for the procurement of monitoring and evaluation consultancy work. Suppliers who join the framework will be eligible to tender for monitoring and evaluation across the British Council's global operations.",BRITISH COUNCIL(THE),,,GBP,2026-08-15,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077894-2026,2026-08-15T07:27:21.139450+00:00
FTS,ocds-h6vhtk-06d9d4_077893-2026,Theatre Royal Plymouth Graduation Ceremonies (November),"The Theatre Royal Plymouth venue and associated event services will be used by the University of Plymouth to deliver its 2027 and 2028 Graduation Ceremonies in November. These ceremonies are a business-critical component of the University’s academic calendar, providing the formal conferral and celebration of awards for graduating students. The contract will support the delivery of multiple graduation ceremonies together with associated hospitality and reception services for graduates, guests, st",University of Plymouth,,,GBP,2026-08-15,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077893-2026,2026-08-15T07:27:21.139480+00:00
FTS,ocds-h6vhtk-06e51e_077892-2026,GMCA 1745 Foster for Greater Manchester,"Customer Relationship Management (CRM) System
used to store information, track enquiries through to approval and 
manage the recruitment process.",Greater Manchester Combined Authority,,,GBP,2026-08-14,,award,complete,72000000,https://www.find-tender.service.gov.uk/Notice/077892-2026,2026-08-15T07:27:21.139487+00:00
FTS,ocds-h6vhtk-06b780_077891-2026,Manchester Worklessness Programme,"Manchester City Council (MCC) wishes to commission a service which can meet the following key objectives: 
- Reduce the barriers to employment for Manchester residents 
- Engage and support people who are not in employment to participate in the labour market 
- Support people in work, at risk of falling out of work due to health conditions or disabilities, to remain in employment 
- Engage employers to provide meaningful work opportunities 
- Deliver a coherent, joined-up local work, health and ",Manchester City Council,,3750000.0,GBP,2026-08-14,,tender,active,,https://www.find-tender.service.gov.uk/Notice/077891-2026,2026-08-15T07:27:21.139492+00:00
FTS,ocds-h6vhtk-067fce_077890-2026,GMCA 1784 Greater Manchester Equality Panel Facilitation,"The Greater Manchester Equality Panels have been established to advise, support and challenge Greater Manchester's political leaders and policy-makers to tackle the discrimination and disadvantage that cause injustice and inequality in society, and champion Greater Manchester as an inclusive city-region.
They do this by working together with the GMCA and partners to:
• Provide insight into Greater Manchester's diverse communities, enabling political leaders and public bodies to listen and engage",Greater Manchester Combined Authority,,,GBP,2026-08-14,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077890-2026,2026-08-15T07:27:21.139499+00:00
FTS,ocds-h6vhtk-06e519_077889-2026,Schools Gigabit Broadband,"Introduction: School Gigabit Broadband Phase 2
The Department for Education (DfE) is seeking early engagement from interested organisations in relation to the Schools Gigabit Broadband Programme Phase 2. 
Please note that this notice is issued solely for the purposes of preliminary market engagement and information gathering. It does not constitute a call for competition, procurement, or invitation to tender. The Department reserves the right not to commence any formal procurement process or ent",Department for Education,,20000000.0,GBP,2026-08-14,,planningUpdate,planning,,https://www.find-tender.service.gov.uk/Notice/077889-2026,2026-08-15T07:27:21.139505+00:00
FTS,ocds-h6vhtk-06e4fe_077888-2026,Maintenance of Building Management Systems,Maintenance of Building Management Systems across ABUHB estate. This kicks off the standstill until 25th August midnight.,Aneurin Bevan University Health Board,,,GBP,2026-08-14,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077888-2026,2026-08-15T07:27:21.139509+00:00
FTS,ocds-h6vhtk-06e51d_077887-2026,Community House - Access System,Access control fit out to ensure a secure building for the service needs at community house,London Borough of Enfield,,,GBP,2026-08-14,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077887-2026,2026-08-15T07:27:21.139521+00:00
FTS,ocds-h6vhtk-06e51c_077886-2026,Supply of Electrical Installation Condition Reports (EICR),Direct award through Procurepublic's Electrical Services Framework 2025 for the supply of EICR,ORBIT GROUP LIMITED,,,GBP,2026-08-14,,award,complete,45311000,https://www.find-tender.service.gov.uk/Notice/077886-2026,2026-08-15T07:27:21.139526+00:00
FTS,ocds-h6vhtk-06e51b_077885-2026,Park Avenue Mental Health Hub - Access Control,"Enfield Council are undertaking a project to renovate the Park Avenue & create a Mental Health Hub. As part of the project, electronic access control will need to be installed to secure the external main entrance doors, and some of the internal spaces which are for staff access or accompanied access only.",London Borough of Enfield,,,GBP,2026-08-14,,award,complete,,https://www.find-tender.service.gov.uk/Notice/077885-2026,2026-08-15T07:27:21.139531+00:00
