source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-056bfe_053575-2026,Concession Contract for the Provision of Electric Vehicle Charging Points 2026 - 2041,"Hampshire County Council (The Authority) is procuring a Concession Contract for the provision of Electric Vehicle Charging Points along with the associated infrastructure and software to help deliver local, on-street Electric Vehicle (EV) charging infrastructure. This will be primarily for low (less than 22kw) power charger points to aid the transition to EV's and shift away from traditional petrol / diesel powered cars. The project is predominately aimed at supporting residents without off-stre",Hampshire County Council,,,GBP,2026-06-06,,award,complete,,https://www.find-tender.service.gov.uk/Notice/053575-2026,2026-06-06T09:23:38.498949+00:00
FTS,ocds-h6vhtk-05291b_053574-2026,FSCS547 Technology Resource Augmentation and Project Delivery Partner,,FINANCIAL SERVICES COMPENSATION SCHEME LIMITED,,,GBP,2026-06-05,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/053574-2026,2026-06-06T09:23:38.498980+00:00
FTS,ocds-h6vhtk-05291b_053573-2026,FSCS547 Technology Resource Augmentation and Project Delivery Partner,,FINANCIAL SERVICES COMPENSATION SCHEME LIMITED,,,GBP,2026-06-05,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/053573-2026,2026-06-06T09:23:38.498986+00:00
FTS,ocds-h6vhtk-06af3f_053572-2026,London Borough of Richmond,London Borough of Richmond,"Sutton, Achieving for Children and Kingston",,,GBP,2026-06-05,,award,complete,60000000,https://www.find-tender.service.gov.uk/Notice/053572-2026,2026-06-06T09:23:38.498991+00:00
FTS,ocds-h6vhtk-059ab0_053571-2026,City of York Council and North Yorkshire Council Joint Green Belt Assessment,"The Authority wishes to award a contract for an assessment of Green Belts in York and North Yorkshire (""the Contract"").
North Yorkshire Council (NYC), City of York Council (CYC) and the York and North Yorkshire Combined Authority (YNYCA) are working jointly on an assessment of Green Belts within their respective areas.
The assessment will provide evidence to support decision taking on planning applications and, if necessary, be used alongside further work to inform the preparation of Local Plans",City of York Council,,150000.0,GBP,2026-06-05,2026-07-27,tender,active,,https://www.find-tender.service.gov.uk/Notice/053571-2026,2026-06-06T09:23:38.498996+00:00
FTS,ocds-h6vhtk-066bfd_053570-2026,OnPoint Consultancy Project,Productivity and efficiency consultancy with respect to Midland Heart's key processes.,MIDLAND HEART LIMITED,,,GBP,2026-06-05,,award,complete,,https://www.find-tender.service.gov.uk/Notice/053570-2026,2026-06-06T09:23:38.499001+00:00
FTS,ocds-h6vhtk-06af3e_053569-2026,Protect and Prepare Capability (Role Player),"This procurement is being conducted by the Metropolitan Police Service (MPS) on behalf of the Mayor's Office for Policing and Crime (MOPAC) who are the Contracting Authority as defined in Section 2 of the Procurement Act 2023.
This Invitation to Tender has been issued by MOPAC who are seeking to award a Contract to provide role-players and associated services in support of the National Counter Terrorism Security Office's Protect and Prepare Capability Testing project. 
The requirement is for an ",Mayor's Office for Policing and Crime,,1608000.0,GBP,2026-06-05,2026-06-30,tender,active,,https://www.find-tender.service.gov.uk/Notice/053569-2026,2026-06-06T09:23:38.499006+00:00
FTS,ocds-h6vhtk-06af3d_053568-2026,ESFM: Works Roofing Contractor Services supply for the British High Commission in Kingston,The British High Commission (BHC) in Kingston requires the procurement of a roofing contractor to address critical and ongoing structural issues affecting the official residence of the High Commissioner to Jamaica.,"Foreign, Commonwealth and Development Office",,,GBP,2026-06-05,,award,complete,,https://www.find-tender.service.gov.uk/Notice/053568-2026,2026-06-06T09:23:38.499019+00:00
FTS,ocds-h6vhtk-055500_053567-2026,C008PA - Body Removal and Storage Service for Colchester and Tendring Area of Essex,"Essex County Council (ECC) is responsible for delivering the Coroner Service for the Essex Coroner Area, which encompasses the administrative boundaries of Essex County Council, together with the unitary authorities of Thurrock Council and Southend-on-Sea City Council.
As part of these statutory responsibilities, ECC requires the provision of body removal services within the Colchester and Tendring Areas of Essex. These services are essential to support the effective operation of the Coroner Ser",Essex County Council,,,GBP,2026-06-05,,award,complete,,https://www.find-tender.service.gov.uk/Notice/053567-2026,2026-06-06T09:23:38.499026+00:00
FTS,ocds-h6vhtk-06af3c_053566-2026,Best Interest Assessments for Deprivation of Liberty,To complete Best Interest assessments for Deprivation of Liberty Safeguards Authorisation. This is LBE's statutory responsibility in accordance with the Mental Capacity Act 2005.,London Borough of Enfield,,,GBP,2026-06-05,,award,complete,,https://www.find-tender.service.gov.uk/Notice/053566-2026,2026-06-06T09:23:38.499051+00:00
