source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06a9bc_051141-2026,Class 170 SVRS Modifications,"Northern Trains Ltd (NTL) is seeking a supplier with the capability, capacity, and technical competence to deliver a Single Variable Rate Sanding System (SVRS) installation to the Northern Class 170 fleet (16 units).",NORTHERN TRAINS LIMITED,,1700000.0,GBP,2026-05-30,2026-07-10,tender,active,,https://www.find-tender.service.gov.uk/Notice/051141-2026,2026-05-31T09:46:16.898592+00:00
FTS,ocds-h6vhtk-0670c7_051140-2026,Class 170 SVRS Modifications,"Northern Trains Ltd (NTL) is seeking a supplier with the capability, capacity, and technical competence to deliver a Single Variable Rate Sanding System (SVRS) installation to the Northern Class 170 fleet (16 units).",NORTHERN TRAINS LIMITED,,1700000.0,GBP,2026-05-30,2026-07-10,tender,active,,https://www.find-tender.service.gov.uk/Notice/051140-2026,2026-05-31T09:46:16.898624+00:00
FTS,ocds-h6vhtk-06a9bb_051139-2026,Emergency Call Out and Minor Works,Internal repairs to MRA property site - Repairs Works to Property,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051139-2026,2026-05-31T09:46:16.898631+00:00
FTS,ocds-h6vhtk-06a9ba_051138-2026,Emergency Callout and Minor Works,Site Clearance Works - Emergency Callout and Minor Works,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051138-2026,2026-05-31T09:46:16.898636+00:00
FTS,ocds-h6vhtk-06a9b9_051137-2026,Emergency Call Out and Minor Works,"Excavations and removal for disposal off site existing reinforced concrete shaft slab founded , Emergency Call Out and Minor Works",Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051137-2026,2026-05-31T09:46:16.898640+00:00
FTS,ocds-h6vhtk-06a9b8_051136-2026,Emergency Call Out and Minor Works,"Installing fencing along coastal path, Emergency Call Out and Minor Works",Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051136-2026,2026-05-31T09:46:16.898644+00:00
FTS,ocds-h6vhtk-06a9b7_051135-2026,Emergency Call Out and Minor  Works,The contract relates to emergency response works and associated minor works undertaken to address an unforeseen mining-related hazard and ensure the site was made safe.,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051135-2026,2026-05-31T09:46:16.898648+00:00
FTS,ocds-h6vhtk-06a9b6_051134-2026,Emergency Callout and Minor Works,Treatment Works - MINE ENTRY - Emergency Callout and Minor Works,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051134-2026,2026-05-31T09:46:16.898661+00:00
FTS,ocds-h6vhtk-06a9b5_051133-2026,Emergency Callout and Minor Works,Treatment Works - MINE ENTRY -Emergency Callout and Minor Works,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051133-2026,2026-05-31T09:46:16.898666+00:00
FTS,ocds-h6vhtk-06a9b4_051132-2026,Emergency Callout and Minor Works,"Emergency Callout and Minor Works - SHAFT,  involving construction of piling mat, 
installation of Openreach ducting within residential property boundary and 
all associated reinstatement",Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051132-2026,2026-05-31T09:46:16.898673+00:00
FTS,ocds-h6vhtk-06a9b3_051131-2026,Emergency Callout and Minor Works,Enabling/coring works - Emergency Callout and Minor Works,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051131-2026,2026-05-31T09:46:16.898677+00:00
FTS,ocds-h6vhtk-06a9b2_051130-2026,Emergency Call Out and Minor Works,"Provide a reinforced concrete cap, bearing onto rockhead, to span over the existing shaft.",Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051130-2026,2026-05-31T09:46:16.898681+00:00
FTS,ocds-h6vhtk-06a9b1_051129-2026,Emergency Call Out and Minor Works,Enabling & Treatment Works - Emergency Call Out and Minor Works,Mining Remediation Authority,,,GBP,2026-05-30,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051129-2026,2026-05-31T09:46:16.898685+00:00
FTS,ocds-h6vhtk-06a9b0_051128-2026,KMMH Portable Magnetic Resonance Imaging System (2026),"Kent and Medway Mental Health NHS Trust (the “Trust”) hereby gives notice of its intention to directly award a contract for the provision of a portable low-field (0.064 Tesla) magnetic resonance imaging (MRI) system. The contract will also include the provision of associated peripherals, together with training, support and maintenance services, for a period of five (5) years.
The MRI system will be utilised to support the acceleration and development of local, place-based neuroimaging research, ",Kent and Medway Mental Health NHS Trust,,,GBP,2026-05-30,,awardUpdate,complete,,https://www.find-tender.service.gov.uk/Notice/051128-2026,2026-05-31T09:46:16.898689+00:00
