source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06c88f_071089-2026,Bohunt Education Trust - Energy Dynamic Market,"Establishment of a Dynamic Market pursuant to section 34 of the Procurement Act 2023 for the physical supply of electricity and gas to all Authority sites along with associated invoicing and query management services. 
A Dynamic Market is a procurement mechanism that:
•remains open to new suppliers throughout its duration;
•allows suppliers to apply for admission at any time;
•enables the Authority to conduct competitive selection processes among admitted suppliers",Bohunt Education Trust,,,GBP,2026-07-28,,award,,,https://www.find-tender.service.gov.uk/Notice/071089-2026,2026-07-28T09:33:59.091683+00:00
FTS,ocds-h6vhtk-06d4f1_071088-2026,Million plus annual membership,"Million plus annual membership-UoB
This notice is linked to transparency notice;
2026/S 000-066538
ocds-h6vhtk-06cb7c",University of Bedfordshire,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071088-2026,2026-07-28T09:33:59.091718+00:00
FTS,ocds-h6vhtk-06d4f0_071087-2026,Project and Cost Management Services,Project and Cost Management Services - Liscard Town Centre Public Realm Improvements,Wirral Council,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071087-2026,2026-07-28T09:33:59.091724+00:00
FTS,ocds-h6vhtk-06d4ef_071086-2026,Tape-Out Service for MPW Design,Provision of photonic integrated circuit fabrication services.,NPL Management Limited,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071086-2026,2026-07-28T09:33:59.091729+00:00
FTS,ocds-h6vhtk-06d4ee_071085-2026,Reactive and Planned Maintenance of Commercial and Domestic Gas Appliances,"Boston Borough Council, East Lindsey District Council and South Holland District Council (the Authorities) are undertaking a Preliminary Market Engagement (PME) exercise to inform the future procurement of a contractor, or contractors, to deliver reactive and planned maintenance services for commercial and domestic gas appliances and associated heating systems across the Authorities' operational and residential portfolios. 
The future contract is expected to include:
•	Planned servicing and main",East Lindsey District Council,,,GBP,2026-07-28,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/071085-2026,2026-07-28T09:33:59.091734+00:00
FTS,ocds-h6vhtk-06d4ed_071084-2026,Porth Community School - Re-roofing Phase One,Porth Community School - Re-roofing Phase One 2026,Rhondda Cynon Taf CBC,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071084-2026,2026-07-28T09:33:59.091740+00:00
FTS,ocds-h6vhtk-06d4ec_071083-2026,Beverage Supplies,"Beverage supplies - tea, coffee for catering at Wiston House for WP events (cumulative spend)",Wilton Park,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071083-2026,2026-07-28T09:33:59.091760+00:00
FTS,ocds-h6vhtk-06d4eb_071082-2026,Orchard Drive Ackworth,Orchard Drive Ackworth- Carriageway resurfacing work,The Council of the City of Wakefield,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071082-2026,2026-07-28T09:33:59.091772+00:00
FTS,ocds-h6vhtk-054e11_071081-2026,Electrical and Mechanical Servicing for all Hot Water & Heating Service Assets & Associated Plant,"This contract is for a qualified provider to deliver comprehensive compliance inspections and certification of the Council's hot water service assets and associated plant. The contract covers a wide range of systems, including gas boilers, oil boilers, biofuel boilers, unvented/vented water heaters, standard electrical water heaters as well as air source heat pump systems.  The assets range from domestic systems to large commercial boilers and associated plant.
The successful provider is expecte",Norfolk County Council,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071081-2026,2026-07-28T09:33:59.091778+00:00
FTS,ocds-h6vhtk-06cb74_071080-2026,SERVICE MAINTENANCE OF COMBINED HEAT & POWER PLANT,"The Provision of Service Maintenance of the Combined Heat & Power Plant to Hull Royal Infirmary, Castle Hill Hospital & the Sterile Services Unit at Hull University Teaching Hospitals NHS Trust",HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,,,GBP,2026-07-28,,award,complete,,https://www.find-tender.service.gov.uk/Notice/071080-2026,2026-07-28T09:33:59.091785+00:00
