source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06a5ed_049573-2026,Primary Care Enhanced Services - Abbey Medical Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049573-2026,2026-05-27T10:54:16.662720+00:00
FTS,ocds-h6vhtk-06a5ec_049572-2026,Beam Casework Services,"The provision of software-enabled support services for homeless or at risk of homelessness Service-Users of the Buyer.
The Supplier will deliver support to service-users that create conditions for empowering households to secure accommodation in the Private Rented Sector (PRS), including employment support if required, and tenancy sustainment support for those who secure a tenancy.
The Supplier will deliver up to 30 Housing Outcomes per year in the Private Rented Sector for residents of (the Buy",Oxford City Council,,,GBP,2026-05-27,,award,complete,,https://www.find-tender.service.gov.uk/Notice/049572-2026,2026-05-27T10:54:16.662753+00:00
FTS,ocds-h6vhtk-06a5eb_049571-2026,Primary Care Enhanced Services - The Arrow Surgery,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049571-2026,2026-05-27T10:54:16.662762+00:00
FTS,ocds-h6vhtk-06a5ea_049570-2026,Primary Care Enhanced Services - Avonside Health Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049570-2026,2026-05-27T10:54:16.662768+00:00
FTS,ocds-h6vhtk-06a5e9_049569-2026,Supply of Materials,"GreenSquareAccord is looking to tender for the Supply of Materials for our in-house DLO team and wider Departments including: 
- Managed Store Access Solution: 
- Delivery and Counter Service (including enhanced delivery options and out of hours supply) 
- Stock holding, Stock Availability, Substitutions and Special Items;
- Price Management, Quarterly Price Files and Support Terms: 
- Van Stock Management;
- Innovative Solutions;
- Sustainability, Ethical Sourcing and Waste: 
- IT app and Invoi",GREENSQUAREACCORD LIMITED,,76425861.0,GBP,2026-05-27,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/049569-2026,2026-05-27T10:54:16.662773+00:00
FTS,ocds-h6vhtk-06a5e8_049568-2026,Primary Care Enhanced Services - Central Surgery,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049568-2026,2026-05-27T10:54:16.662777+00:00
FTS,ocds-h6vhtk-06a5e7_049567-2026,ECC024 - Statue Repair,"The Brian Clough statue has been unsafe, and it is urgently requiring repairs to make safe and future proof the statue. We have struggled to get this addressed and repaired for some time.",Middlesbrough Council,,,GBP,2026-05-27,,award,complete,,https://www.find-tender.service.gov.uk/Notice/049567-2026,2026-05-27T10:54:16.662782+00:00
FTS,ocds-h6vhtk-06a5e6_049566-2026,Primary Care Enhanced Services - Bidford Health Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049566-2026,2026-05-27T10:54:16.662798+00:00
FTS,ocds-h6vhtk-06a5e5_049565-2026,Defra Climate Services Biodiversity - Forest Research,This work aims to meet Defra's government requirements to enhance the pest risk analyses and emergency outbreak management response work of the plant pest/pathogen risk experts in Defra.  The proposed work will focus on the influence of future climate changes on UK plant pest and/or pathogen risks. It will integrate the most up-to-date climate monitoring and projection data with expertise on analysing and managing pest and pathogen risks to UK host plant species. The work will also build on prev,Met Office,,,GBP,2026-05-27,,award,complete,,https://www.find-tender.service.gov.uk/Notice/049565-2026,2026-05-27T10:54:16.662804+00:00
FTS,ocds-h6vhtk-06a5e4_049564-2026,Primary Care Enhanced Services - Bridge House Medical Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049564-2026,2026-05-27T10:54:16.662810+00:00
FTS,ocds-h6vhtk-06a5e3_049563-2026,Primary Care Enhanced Services - Budbrooke Medical Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049563-2026,2026-05-27T10:54:16.662819+00:00
FTS,ocds-h6vhtk-06a5e2_049562-2026,Alterations and Refurbishment of Bideford Town Hall & Former Library,"The project comprises alterations and refurbishment work to an existing Grade II listed complex of buildings previously used as a library and Torridge District Council’s town hall. The proposed works include demolition and construction of a new single storey extension to the rear of the building; refurbishment and alteration of the former Library to form a gymnasium; refurbishment, repairs and alteration to the ground floor of the Town Hall to provide office accommodation; and water damage repai",Torridge District Council,,,GBP,2026-05-27,,award,complete,,https://www.find-tender.service.gov.uk/Notice/049562-2026,2026-05-27T10:54:16.662825+00:00
FTS,ocds-h6vhtk-06a5e1_049561-2026,Primary Care Enhanced Services - Castle Medical Centre (The),"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049561-2026,2026-05-27T10:54:16.662832+00:00
FTS,ocds-h6vhtk-06a5e0_049560-2026,Primary Care Enhanced Services - Chase Meadow Health Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049560-2026,2026-05-27T10:54:16.662836+00:00
FTS,ocds-h6vhtk-06a5df_049559-2026,Primary Care Enhanced Services - Clarendon Lodge Medical Centre,"NHS Coventry and Warwickshire ICB has utilised direct award process C of the Provider Selection Regime regulations to award a contract for the provision of: Primary Care Enhanced Services, including: DOAC, ECG, Leg Ulcer, Anti-coagulation, Phlebotomy, Wound Care, Injectables, FeNO, Pessaries, Shared Care, Spirometry, Special Allocations Scheme and Asylum Seeker Services.
Commencing 1st April 2026 - 31st March 2028",NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,,,GBP,2026-05-27,,award,complete,85100000,https://www.find-tender.service.gov.uk/Notice/049559-2026,2026-05-27T10:54:16.662839+00:00
