source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06bdf1_060227-2026,PR-2026-00094 Housing Compliance Consultancy Services,The provision of housing compliance consultancy services,High Peak Borough Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060227-2026,2026-06-26T10:21:40.050644+00:00
FTS,ocds-h6vhtk-04e297_060226-2026,Supply and/or Install of Rooftop Solar Photovoltaic Systems and Associated Equipment Y24013,,Commercial Services,,,GBP,2026-06-26,,awardUpdate,,09330000,https://www.find-tender.service.gov.uk/Notice/060226-2026,2026-06-26T10:21:40.050675+00:00
FTS,ocds-h6vhtk-06469e_060225-2026,Office Relocation and Furniture Recycling Services,"The contract will provide a managed services solution for the provision of the following services, which broadly include relocation services, disposal & recycling of unwanted furniture, equipment and office waste, alongside temporary storage solutions for furniture and equipment.",Manchester City Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060225-2026,2026-06-26T10:21:40.050682+00:00
FTS,ocds-h6vhtk-06bdf0_060224-2026,Winslow CofE School,Boiler Replacement Project,Buckinghamshire Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060224-2026,2026-06-26T10:21:40.050688+00:00
FTS,ocds-h6vhtk-06bdef_060223-2026,"3 x 45356-10  LB147 Alpha/Beta-Gamma Hand, Foot &  Clothing","Quotation Ref 7367/1 3 x 45356-10  LB147 Alpha/Beta-Gamma Hand, Foot &  Clothing",The Christie NHS Foundation Trust,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060223-2026,2026-06-26T10:21:40.050692+00:00
FTS,ocds-h6vhtk-06bdee_060222-2026,To Supply Leicester College with Cleaning Consumables,"Leicester College is seeking to appoint a reliable and responsive supplier for the provision of cleaning consumables across its estate, ensuring quality, value for money, continuity of supply, and products that support safe, hygienic and sustainable learning environments.",Leicester College,,50000.0,GBP,2026-06-26,2026-07-27,tender,active,,https://www.find-tender.service.gov.uk/Notice/060222-2026,2026-06-26T10:21:40.050697+00:00
FTS,ocds-h6vhtk-06bded_060221-2026,"Strategic, Economic, Commercial and Organisational Advisory Services for the National Library of Wales ","**English Below** 
Gwasanaethau Cynghori Strategol, Economaidd, Masnachol a Sefydliadol ar gyfer Llyfrgell Genedlaethol Cymru
Mae Llyfrgell Genedlaethol Cymru yn cychwyn ar gyfnod o ddatblygiad strategol a thrawsnewid sylweddol i gefnogi ei Strategaeth ar gyfer 2025–2030. Mae hyn yn cynnwys amrywiaeth o fentrau cyfalaf, gweithredol a sefydliadol posibl sydd â’r nod o sicrhau cynaliadwyedd, hygyrchedd a pherthnasedd hirdymor casgliadau, gwasanaethau ac ystad y Llyfrgell.
Fel Corff a Noddir gan Ly",The National Library of Wales,,120000.0,GBP,2026-06-26,2026-07-21,tender,active,,https://www.find-tender.service.gov.uk/Notice/060221-2026,2026-06-26T10:21:40.050702+00:00
FTS,ocds-h6vhtk-06bdec_060220-2026,Water Cycle Study Part 2,Breckland District Council is seeking quotes for the provision of: Water Cycle Study Stage 2 to support the full update to the Breckland Local Plan.,Breckland District Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060220-2026,2026-06-26T10:21:40.050714+00:00
FTS,ocds-h6vhtk-06bdeb_060219-2026,Digby CoE Primary School - Resurfacing and Drainage Works,Resurfacing of carpark and playground with some drainage repairs.,Lincolnshire County Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060219-2026,2026-06-26T10:21:40.050720+00:00
FTS,ocds-h6vhtk-06bdea_060218-2026,Posijet Consumables,Cardiff University has awarded a contract for Posijet Consumables,Cardiff University,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060218-2026,2026-06-26T10:21:40.050725+00:00
FTS,ocds-h6vhtk-06bddf_060217-2026,Fire Safety Consultancy Services,"The objectives of the contract are to:
•	Maintain compliance with fire safety legislation
•	Ensure fire safety documentation remains accurate and up to date
•	Provide clear, prioritised risk management recommendations
•	Support the Estates team with practical fire safety advice
•	Ensure reporting is suitable for operational decision-making",The City of Liverpool College,,,GBP,2026-06-26,,award,complete,75251110,https://www.find-tender.service.gov.uk/Notice/060217-2026,2026-06-26T10:21:40.050733+00:00
FTS,ocds-h6vhtk-069059_060216-2026,BFWML - Estates - Catering equipment/ Dishwashes,Maintenance and Servicing of Catering equipment / Dishwashers,Atlas BFW Management Limited,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060216-2026,2026-06-26T10:21:40.050737+00:00
FTS,ocds-h6vhtk-0524f3_060215-2026,The Supply of Care Equipment for Daily Living,"Cumberland Council is recommissioning its Daily Living Equipment Service and is seeking supplier input to help shape the future delivery model. We expect our new service to be in place from 11 November 2026.
We currently use the retail model, where individuals assessed by the council or NHS receive a prescription for simple aids / equipment to support daily living and then redeem their prescription at one of contracted retailers.
However, we are keen to understand the various options available a",Cumberland Council,,,GBP,2026-06-26,,planning,planned,,https://www.find-tender.service.gov.uk/Notice/060215-2026,2026-06-26T10:21:40.050742+00:00
FTS,ocds-h6vhtk-06bde9_060214-2026,ITT For Catfield C of E Primary Academy Heating System,The Diocese of Norwich Education Services Company (DoNESC) is carrying out a procurement exercise on the behalf of Catfield C of E Primary Academy to procure works to upgrade the plantroom delivering an adequate heating system.,Diocese of Norwich Education and Academies Trust,,50000.0,GBP,2026-06-26,2026-07-24,tender,active,,https://www.find-tender.service.gov.uk/Notice/060214-2026,2026-06-26T10:21:40.050746+00:00
FTS,ocds-h6vhtk-05dc12_060213-2026,DfI TRAM Road Asset Management – Structures Framework,"This tender notice is for the award of a public contract through an open procedure in accordance with section 20(1) and (2)(a) of the PA 2023.
RAM Structures Framework will include the following work activities:
A.	Full or partial demolition of structures; 
B.	Construction of new structures; 
C.	Scour protection and maintenance works; 
D.	Earthworks; 
E.	Culvert upgrades/maintenance including lining and invert repair works; 
F.	General bridge/structures maintenance; 
G.	Working in water; 
H.	Bri",DfI Transport and Road Asset Management (TRAM),,57000000.0,GBP,2026-06-26,2026-07-08,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/060213-2026,2026-06-26T10:21:40.050750+00:00
FTS,ocds-h6vhtk-06bde8_060212-2026,Leodis Commercial Limited,Leodis Commercial Limited - works to Render in Sheffield Richmond Park,Great Places Housing Group Limited,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060212-2026,2026-06-26T10:21:40.050753+00:00
FTS,ocds-h6vhtk-06b396_060211-2026,UKRI-6142-IDL/ENVI (Interactive Data Language) license,"IDL/ENVI (Interactive Data Language) licenses NERC & STFC The contract covers licencing and maintenance in the form of regular software updates, telephone support for end users and support and administration of the licences.",UK Research & Innovation (UKRI),,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060211-2026,2026-06-26T10:21:40.050759+00:00
FTS,ocds-h6vhtk-04e95f_060210-2026,Disinfection Products for use on Human Skin and Hard Surfaces,This tendering exercise is aimed at establishing a compliant and effective contract for the supply and delivery of Disinfection Products for use on Human Skin and Hard Surfaces for the region.,Belfast Health & Social Care Trust,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060210-2026,2026-06-26T10:21:40.050763+00:00
FTS,ocds-h6vhtk-06bde7_060209-2026,UR3e Robot,RAICo (Robotics and AI Collaboration) is seeking to purchase a UR3e robot running Polyscope 5 and associated items.,UK Atomic Energy Authority,,25000.0,GBP,2026-06-26,2026-07-15,tender,active,,https://www.find-tender.service.gov.uk/Notice/060209-2026,2026-06-26T10:21:40.050767+00:00
FTS,ocds-h6vhtk-06bde6_060208-2026,Employee Recognition Vouchers,"The contract is for the provision of an employee recognition voucher solution to support the organisation's employee reward and recognition programme. The service enables the purchase, distribution and redemption of digital and/or physical vouchers which can be awarded to employees in recognition of performance, contribution and achievement.
The supplier will provide access to a platform or service through which authorised users can order and issue vouchers, with a range of retailer options avai",ORDNANCE SURVEY LIMITED,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060208-2026,2026-06-26T10:21:40.050772+00:00
FTS,ocds-h6vhtk-06bde5_060207-2026,"Major Void Refurbishment - 1A Betworthy, Coaley, Dursley, Gloucesterhire.","This tender relates to the refurbishment, remodelling and adaptation of a vacant Council-owned dwelling. The property is a single-storey bungalow currently configured as a two-bedroom dwelling. The proposed scheme involves the conversion and refurbishment of the property to create a fully adapted one-bedroom accessible home designed to meet enhanced mobility and accessibility requirements. Please see procurement documents for further details.",Stroud District Council,,70000.0,GBP,2026-06-26,2026-07-24,tender,active,,https://www.find-tender.service.gov.uk/Notice/060207-2026,2026-06-26T10:21:40.050777+00:00
FTS,ocds-h6vhtk-06bde4_060206-2026,PR-2026-00083 Enhanced Energy Advice,Provision of enhanced energy advice services,High Peak Borough Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060206-2026,2026-06-26T10:21:40.050781+00:00
FTS,ocds-h6vhtk-06bde3_060205-2026,Hyde Heath Infants School,Boiler Replacement Project,Buckinghamshire Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060205-2026,2026-06-26T10:21:40.050784+00:00
FTS,ocds-h6vhtk-06ad12_060204-2026,Fleet Management Solution - PIN Notice,"BACKGROUND
Wrexham County Borough Council (WCBC) are looking to engage the market with the potential of procuring a Fleet Management application to support our Fleet Officers in the Environment and Technical Department to manage a range of Fleet related requirements as outlined below. 
Wrexham County Borough Council currently operates with approximately 500 across multiple locations.
Fleet vehicle types include:
•	Cars
•	Vans
•	HGVs / specialist vehicles
Current challenges include:
•	Limited vis",Wrexham County Borough Council,,166176.0,GBP,2026-06-26,,planningUpdate,planning,,https://www.find-tender.service.gov.uk/Notice/060204-2026,2026-06-26T10:21:40.050788+00:00
FTS,ocds-h6vhtk-06bde2_060203-2026,Off Framework Residential Care for Adults and Older People and Older People with Mental Health Needs for ID397042,Provision of Off Framework Residential Care for Adults and Older People and Older People with Mental Health Needs for ID397042,Darlington Borough Council,,,GBP,2026-06-26,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060203-2026,2026-06-26T10:21:40.050792+00:00
