source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06bf0c_060737-2026,"Mandatory Drug, Alcohol & DNA Testing - 1",To fulfil a legal requirement mandated by the court instructing the Local Authority to carry out drug/alcohol testing as part of ongoing care proceedings.,City of Bradford Metropolitan District Council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060737-2026,2026-06-29T11:56:45.893963+00:00
FTS,ocds-h6vhtk-06bf0e_060736-2026,PROVISION OF SUPPLY OF CONSULTANCY SERVICES FOR PUBLIC SERVICE REFORM PROGRAMME AND IMPLEMENTATION OF COLLABORATION COMPACT,"Consultancy service procured to provide expert advice, facilitation, coaching, design support, and practical implementation capacity to help public sector partners embed the Compact into everyday practice. The consultancy will support partners to:
•	Turn shared principles into consistent behaviours and routines
•	Develop collaborative approaches to service reform
•	Build confidence, trust, and shared accountability
•	Strengthen community co production
•	Test and scale new ways of working
•	Devel",Westmorland and Furness Council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060736-2026,2026-06-29T11:56:45.894005+00:00
FTS,ocds-h6vhtk-06bf0d_060735-2026,Provision of Internal Audit Services,"Amplius is developing a tender for internal audit services.  The scope of this contract is business- wide, including IT:
•The programme is expected to deliver 10-12 audits per year with expectations of lasting no more than 20 days 
The audit plan must provide independent, risk- based assurance over:
•Governance
•Risk Management
•Internal Control
It must support compliance with:
•Regulatory standards
•Legal obligations
•Amplius’ risk appetite
. 
Audit coverage will consider a wide range of busine",Amplius Living,,,GBP,2026-06-29,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/060735-2026,2026-06-29T11:56:45.894014+00:00
FTS,ocds-h6vhtk-06bf0c_060734-2026,"Mandatory Drug, Alcohol & DNA Testing - 1",To fulfil a legal requirement mandated by the court instructing the Local Authority to carry out drug/alcohol testing as part of ongoing care proceedings.,City of Bradford Metropolitan District Council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060734-2026,2026-06-29T11:56:45.894020+00:00
FTS,ocds-h6vhtk-051a1b_060733-2026,Technology Hardware,"Sandwell Metropolitan Borough Council (the Council) is a unitary, metropolitan authority located in the West Midlands. SMBC is made of 6 towns (West Bromwich, Oldbury, Tipton, Wednesbury, Smethwick, Rowley Regis). SMBC employs over 4500 people, employees require ICT technology to deliver and manage SMBC services both internally and externally to the residents of Sandwell. The Council is looking for an organisation to provide ICT Technology Hardware which includes End User Devices such as Laptops",Sandwell Metropolitan Borough Council,,,GBP,2026-06-29,,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/060733-2026,2026-06-29T11:56:45.894026+00:00
FTS,ocds-h6vhtk-06bf0a_060732-2026,Smart Street Lighting - Network Rail - BAPA,"A Basic Asset Protection Agreement (BAPA) with Network Rail in order to remove the Councils lighting columns that run juxtapose to the network rail boundary, line and overheads. Awarded under Schedule 5 para 5 of the Procurement Act",City of Bradford Metropolitan District Council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060732-2026,2026-06-29T11:56:45.894032+00:00
FTS,ocds-h6vhtk-06bf0a_060731-2026,Smart Street Lighting - Network Rail - BAPA,"A Basic Asset Protection Agreement (BAPA) with Network Rail in order to remove the Councils lighting columns that run juxtapose to the network rail boundary, line and overheads. Awarded under Schedule 5 para 5 of the Procurement Act",City of Bradford Metropolitan District Council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060731-2026,2026-06-29T11:56:45.894037+00:00
FTS,ocds-h6vhtk-06bf0b_060730-2026,DA - Testing of public-facing version of radiocarbon database - UID 255 (2),Up to four days of testing of the public-facing version of the online Project Radiocarbon Database.,Historic England,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060730-2026,2026-06-29T11:56:45.894052+00:00
FTS,ocds-h6vhtk-050ddd_060729-2026,Asbestos Abatement Framework; 2026 - 2030,"This procurement is intended to appoint a number of specialist asbestos Consultancies and Contractors to a Framework to assist Gentoo in maintaining control, improving management, and removing any ACM’s required.
This Tender has been broken into two Lots. The Lots are broken up as follows:
•	Lot 1 – Asbestos Management Services; and
•	Lot 2 – Asbestos Removal Services.",Gentoo Group,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060729-2026,2026-06-29T11:56:45.894059+00:00
FTS,ocds-h6vhtk-06695c_060728-2026,Currynierin Community Park ICT,"It is the intention of Derry City and Strabane District Council, as the Employer, to appoint the services of a Civil/Structural Engineer or Landscape Architect-led Integrated Consultancy Team (ICT) to undertake the delivery, design and management of the “Currynierin Community Park” capital project, based in Currynierin, Waterside, Derry~Londonderry. Working in close consultation with the Employer the ICT will be required to provide design proposals (including revisions) that meet the strategic a",Derry City & Strabane District council,,,GBP,2026-06-29,,award,complete,,https://www.find-tender.service.gov.uk/Notice/060728-2026,2026-06-29T11:56:45.894068+00:00
