source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06f475_084860-2026,Client Transport Services 2026 - 2034 - SEND,"Client Transport Services 2026 - 2034 - SEND : Walton Leigh School
x 2 pupils
x 1 PA
x MPV small vehicle for space (5-6 passenger seats)
Pupils live in KT12 postcode area
***IMPORTANT: all male team is required
Start on Wednesday, 9th September",Surrey County Council,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084860-2026,2026-09-08T11:57:33.741600+00:00
FTS,ocds-h6vhtk-06f3cb_084859-2026,Consultancy Framework,"The aim of the SEC Consultancy Frameworks is to connect our customers with experienced consultants ready to support with their projects. The Framework will cover all aspects of our customer's compliance programmes, including asset management, development, heating, and zero carbon.",SEC PROCUREMENT LIMITED T/A SOUTH EAST CONSORTIUM,,,GBP,2026-09-08,,planningUpdate,planning,,https://www.find-tender.service.gov.uk/Notice/084859-2026,2026-09-08T11:57:33.741634+00:00
FTS,ocds-h6vhtk-06f474_084858-2026,MBC-1604 Grounds Maintenance Equipment Repair and Maintenance Contract,"Melton Borough Council are seeking suppliers who are able to carry out repairs, servicing and maintenance of grounds maintenance equipment used by the Council's Environmental Maintenance Team.
The objectives of this Contract are to:
• Support the safe operation of grounds maintenance equipment used by Council staff
• Maintain compliance with relevant health and safety legislation and guidance
• Minimise equipment downtime and disruption to service delivery
• Ensure equipment is maintained in lin",Melton Borough Council,,103000.0,GBP,2026-09-08,2026-10-06,tender,active,,https://www.find-tender.service.gov.uk/Notice/084858-2026,2026-09-08T11:57:33.741642+00:00
FTS,ocds-h6vhtk-06f473_084857-2026,ID691 - Door Entry Systems,"Trent & Dove Housing is seeking to appoint a suitably qualified and experienced contractor to provide planned servicing, inspection, testing, maintenance, reactive repairs and associated works for door entry and associated electronic security systems across its housing portfolio.
The scope includes door entry and access-control systems, CCTV systems associated with communal entrances, intruder alarms, warden call systems, automatic and powered doors, automatic gates and barriers, door closers, a",TRENT & DOVE HOUSING LIMITED,,,GBP,2026-09-08,,tender,active,,https://www.find-tender.service.gov.uk/Notice/084857-2026,2026-09-08T11:57:33.741647+00:00
FTS,ocds-h6vhtk-06b45f_084856-2026,Control and Management of traffic and related services 2026,This is a tender for the Control and Management of Traffic and related services 2026,Cardiff Council,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084856-2026,2026-09-08T11:57:33.741652+00:00
FTS,ocds-h6vhtk-0685e8_084855-2026,MVDC - Parking Pay Terminals,"Mole Valley District Council (the Council) invites tenders for the provision of Parking Pay Terminals & ongoing maintenance services.
The Council has 23 car parks across Mole Valley including the Swan Centre multi-storey car park in Leatherhead and the St Martin’s Walk multi-storey car park in Dorking with the remainder being surface car parks.  The Council currently has 40 operational pay terminals (in addition to 4 out of service), 33 of which are more than 15 years old and only take cash paym",Mole Valley District Council,,315000.0,GBP,2026-09-08,2026-10-08,tender,active,,https://www.find-tender.service.gov.uk/Notice/084855-2026,2026-09-08T11:57:33.741657+00:00
FTS,ocds-h6vhtk-065f6b_084854-2026,UK2 notice - Provision of Merchant Acquirer Services,"DVLA requires a Merchant Acquirer service to ensure service continuity and enable the acceptance of credit and debit card payments from card issuing banks.
The MA service must support payment options for a range of DVLA services, including (but not limited to):
•	Electronic Vehicle Licensing (EVL)
•	Personalised Registrations (Sales and Retain)
•	Enforcement Penalty Payments
•	Driver Licence services
•	Tachograph Company and Driver Cards
•	Trailer Registration
•	Duplicate and Replacement Registr",Driver and Vehicle Licensing Agency,,,GBP,2026-09-08,,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/084854-2026,2026-09-08T11:57:33.741666+00:00
FTS,ocds-h6vhtk-06f3ec_084853-2026,Specialist Multi-Agency Operational Training Venue for Smoke-filled Environment training programme (SFE),"Title: Specialist Multi-Agency Operational Training Venue
1. Introduction
This document is issued as part of a Preliminary Market Engagement (PME) exercise by The London Fire Commissioner. better known as the London Fire Brigade (LFB). The purpose of this engagement is to identify organisations capable of providing a specialist training venue to enable LFB trainers to conduct training exercises for the Metropolitan Police Service (MPS) and the London Fire Brigade (LFB).
This notice is issued for",London Fire Commissioner,,300000.0,GBP,2026-09-08,,planningUpdate,planning,,https://www.find-tender.service.gov.uk/Notice/084853-2026,2026-09-08T11:57:33.741680+00:00
FTS,ocds-h6vhtk-06abcc_084852-2026,Adult Mental Health Support Services for Swindon,"Swindon Borough Council, jointly funded with the Integrated Care Board through pooled budget arrangements, is recommissioning adult mental health support services in Swindon. two distinct but complementary Lots.
Lot 1 – Therapeutic and Recovery Support Services
Structured, evidence-informed therapeutic and recovery-focused support, with a particular role in early intervention, recovery, self-management and appropriate step-up and step-down pathways. Detailed requirements are set out in Appendix ",Swindon Borough Council,,3955000.0,GBP,2026-09-08,,tender,active,,https://www.find-tender.service.gov.uk/Notice/084852-2026,2026-09-08T11:57:33.741686+00:00
FTS,ocds-h6vhtk-0678ed_084851-2026,HBC Allocations Housing Register Contract - 87W26,Halton Housing manage the housing register and allocation process on behalf of the Local Authority.,Halton Borough Council,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084851-2026,2026-09-08T11:57:33.741691+00:00
FTS,ocds-h6vhtk-06e9ee_084850-2026,BHF R4 Business Case Development,"The Tees Valley Combined Authority (TVCA) is seeking an external provider to support the development, review and refinement of project-level business cases for Brownfield Housing Fund (BHF) Round 4 schemes, helping to unlock £32 million of funding and facilitate the delivery of approximately 1,085 new homes across the Tees Valley.
For more information about this opportunity, please visit the eSourcing portal at:
https://www.delta-esourcing.com/tenders/UK-UK-Darlington:-Business-development-consu",Tees Valley Combined Authority,,195000.0,GBP,2026-09-08,2026-09-18,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/084850-2026,2026-09-08T11:57:33.741696+00:00
FTS,ocds-h6vhtk-06afdd_084849-2026,"Provision of a new boiler system in the Skiddaw Building at Fusehill Street Campus,Carlisle",The University of Cumbria are seeking a Supplier to install a replacement boiler in the Skiddaw Building on Fusehill Street Campus in Carlisle.,THE UNIVERSITY OF CUMBRIA,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084849-2026,2026-09-08T11:57:33.741702+00:00
FTS,ocds-h6vhtk-06f472_084848-2026,25-053 CNC Equipment,"The upgrade of existing manual lathes and milling machines to CNC-operated equipment will address the need to align workshop capabilities with modern industry standards, ensuring compliance with current expectations for digital manufacturing and advanced engineering practices.",LONDON SOUTH BANK UNIVERSITY,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084848-2026,2026-09-08T11:57:33.741708+00:00
FTS,ocds-h6vhtk-06f471_084847-2026,Integration Engine and Technical Expertise,"Supplier of Integration Engine, and technical expertise to develop and support integrations 
between clinical systems.",Liverpool University Hospitals NHS Foundation Trust,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084847-2026,2026-09-08T11:57:33.741712+00:00
FTS,ocds-h6vhtk-06f470_084846-2026,Provision of Corporate and Professional Services to Big Life Schools Multi Academy Trust,"The Trust is seeking a single strategic partner to deliver an integrated suite of corporate and professional services that enable school leaders to focus on educational outcomes while ensuring the Trust operates efficiently, safely, compliantly and sustainably. The successful supplier will provide integrated professional support services that are reliable, compliant, responsive and strategically aligned to the Trust’s objectives, through a single accountable management structure combining strate",Big Life Schools,,450000.0,GBP,2026-09-08,2026-10-07,tender,active,,https://www.find-tender.service.gov.uk/Notice/084846-2026,2026-09-08T11:57:33.741716+00:00
FTS,ocds-h6vhtk-066769_084845-2026,Rural Housing Association Appointment of Measured Term Maintenance Contractor,"ural Housing Association (RHA) was established in 1992 as one means of implementing the Housing Executive's pioneering and innovative Rural Housing policy statement ""The Way Ahead"". RHA works throughout Northern Ireland and has a particular focus on rural areas with populations of less than 5000. RHA has a housing stock of 617 dwellings (as at February 2026) located across all District Council areas (excluding Belfast); and the average scheme size is just under seven dwellings. RHA is responsibl",Rural Housing Association,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084845-2026,2026-09-08T11:57:33.741720+00:00
FTS,ocds-h6vhtk-06f3a2_084844-2026,"Installation of a Wind Turbine, Jarrow","The Council is seeking to procure a contractor to install a wind turbine to provide power to the VENJ Heat Network site in Jarrow, and maintain the turbine for a period of 2 years.",South Tyneside Borough Council,,1200000.0,GBP,2026-09-08,2026-10-05,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/084844-2026,2026-09-08T11:57:33.741726+00:00
FTS,ocds-h6vhtk-06f46f_084843-2026,Centre for Excellence - Strategic Branding,"This project will develop a strategic brand identity for the National Centre for Excellence in Tourism and Hospitality, a flagship initiative designed to support skills development, innovation and workforce growth across the visitor economy. The commission will create a distinctive brand, logo and supporting identity that reflects the Centre's vision as a nationally and internationally recognised hub for excellence in tourism and hospitality. The work will include brand definition, creative deve",North East Combined Authority,,,GBP,2026-09-08,,award,complete,,https://www.find-tender.service.gov.uk/Notice/084843-2026,2026-09-08T11:57:33.741730+00:00
