source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-064efd_058281-2026,"""Airlock"" Output Checking System OCS Decision Engine Development Partner","UKB is seeking to further improve its technical controls and intends to implement a functional mechanism to check data egress requests to ensure that participant record-level data is not being removed and does not contain information that can identify individual participants. This Output Checking System (OCS) functionality will allow UKB to enhance the security of the UKB-RAP, reduce the risk of advertent and inadvertent data breaches and importantly increase the trust and transparency of the UK",UK BIOBANK LIMITED,,,GBP,2026-06-20,,award,complete,,https://www.find-tender.service.gov.uk/Notice/058281-2026,2026-06-20T10:07:39.157568+00:00
FTS,ocds-h6vhtk-06b995_058280-2026,Accessible Play Project,"Binfield Parish Council invites tenders from suitably qualified and experienced contractors for the design, supply and installation of accessibility and inclusion improvements at the following three Council open spaces: 
1. Foxley Fields 
2. Wicks Green / Silver Jubilee 
3. York Road 
The Council is seeking to appoint one contractor to deliver the project across all three sites under a single contract. The Council wishes to improve the accessibility, inclusivity and overall quality of these spac",Binfield Parish Council,,210000.0,GBP,2026-06-20,2026-07-31,tender,active,,https://www.find-tender.service.gov.uk/Notice/058280-2026,2026-06-20T10:07:39.157591+00:00
FTS,ocds-h6vhtk-0510f8_058279-2026,Space Technology Solutions,,Government Commercial Agency,,,GBP,2026-06-19,,award,,,https://www.find-tender.service.gov.uk/Notice/058279-2026,2026-06-20T10:07:39.157596+00:00
FTS,ocds-h6vhtk-06b994_058278-2026,Royal Borough of Kingston,Royal Borough of Kingston,"Sutton, Achieving for Children and Kingston",,,GBP,2026-06-19,,award,complete,60000000,https://www.find-tender.service.gov.uk/Notice/058278-2026,2026-06-20T10:07:39.157600+00:00
FTS,ocds-h6vhtk-05a8a0_058277-2026,Supply of Assistive Technology Equipment for Daily Living Framework,This notice supersedes the previous contract award notice published for this scheme following a re-assessment process to include additional bidders for Lot 1 and Lot 3.,Leeds City Council,,,GBP,2026-06-19,,award,complete,,https://www.find-tender.service.gov.uk/Notice/058277-2026,2026-06-20T10:07:39.157604+00:00
FTS,ocds-h6vhtk-04fd4e_058276-2026,Bloomberg Renewal 2025,,,,,GBP,2026-06-19,,contractTermination,,,https://www.find-tender.service.gov.uk/Notice/058276-2026,2026-06-20T10:07:39.157608+00:00
FTS,ocds-h6vhtk-067cda_058275-2026,End Point Assessment - Drivers,Provision of End Point Assessments for Train Driver (Level 3) Apprentices,NORTHERN TRAINS LIMITED,,,GBP,2026-06-19,,award,complete,,https://www.find-tender.service.gov.uk/Notice/058275-2026,2026-06-20T10:07:39.157610+00:00
FTS,ocds-h6vhtk-06b993_058274-2026,Security at Homeless Hostel and adhoc security in housing,You have been invited to bid  for providing security at a 5 room homelessness hostel within Telford & Wrekin.,Borough of Telford & Wrekin,,130000.0,GBP,2026-06-19,2026-07-07,tender,active,,https://www.find-tender.service.gov.uk/Notice/058274-2026,2026-06-20T10:07:39.157619+00:00
FTS,ocds-h6vhtk-06b992_058273-2026,Alces Flight Centre Subscription & HPC Service Credits,Provision of Alces Flight Centre subscription and High Performance Computing (HPC) service credits to support the University's Nandi and Hera clusters.,ASTON UNIVERSITY,,,GBP,2026-06-19,,award,complete,72000000,https://www.find-tender.service.gov.uk/Notice/058273-2026,2026-06-20T10:07:39.157622+00:00
FTS,ocds-h6vhtk-06b991_058272-2026,Patient Administration System Contract Extension,"This notice is to inform the market that the Contracting Authority intends to extend the term of its existing contract with System C Healthcare Ltd for the provision of a Patient Administration System (PAS) system (the PAS Contract). 
The Contracting Authority considers that this extension is a non-substantial modification to the PAS Contract and that therefore it is permitted under Regulation 72(1)(e) Public Contracts Regulation 2015 (PCRs), with there being no requirement for the Contracting A",NORTH WEST ANGLIA NHS FOUNDATION TRUST,,,GBP,2026-06-19,,award,complete,48814000,https://www.find-tender.service.gov.uk/Notice/058272-2026,2026-06-20T10:07:39.157625+00:00
