source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-05dec5_055943-2026,LED Lighting Fitment and Commission,,The Queen Elizabeth Conference Centre,,,GBP,2026-06-13,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/055943-2026,2026-06-13T09:55:12.228263+00:00
FTS,ocds-h6vhtk-06b1f0_055942-2026,"Provision of Psychology Support for trainee doctors, dentists & pharmacists EoE","Provision of Psychology Support for Trainee Doctors, Dentists & Pharmacists across the East of England.
Due to delays arising from administrative and operational circumstances, NHS England awarded this contract to Hammet Street Consulting commencing 1 April 2026 – 31 March 2027. NHS England will submit the UK07 notice at the earliest opportunity afforded by the e-notification systems.",NHS England,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055942-2026,2026-06-13T09:55:12.228294+00:00
FTS,ocds-h6vhtk-06b44c_055941-2026,Support Work to promote the Education of Previously Looked-After Children,"Support Work to promote the Education of Previously Looked-After Children
This contract is an enhanced, individual offer to run alongside our advice, guidance and trauma-informed training offers for schools and families.
The total value of this contracts initial 36 month term is £90,000 (ex VAT).",Bath & North East Somerset Council,,90000.0,GBP,2026-06-12,2026-07-10,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/055941-2026,2026-06-13T09:55:12.228301+00:00
FTS,ocds-h6vhtk-066907_055940-2026,Regenerative Schools Pilot - Innovation Lead,"The Department for Education and the Education Estates Strategy
The Department for Education (DfE) is the UK government’s Department responsible for the schools in England. As part of this role, we oversee the safety, condition, and long‑term sustainability of the education estate. This includes ensuring that current and future school buildings are provided with safe, high‑quality environments where children can learn and thrive.
On 11th February 2026 the Department published its 10-year plan fo",Department for Education,,3929166.33,GBP,2026-06-12,2026-07-07,tender,active,,https://www.find-tender.service.gov.uk/Notice/055940-2026,2026-06-13T09:55:12.228307+00:00
FTS,ocds-h6vhtk-060be4_055939-2026,VCSE - Housing and Social Support Navigation Service - (Lot 2),"This short-term service is designed to provide practical advice and support to help individuals currently known to SLaM services experiencing housing and other practical and social difficulties. This will include addressing the social determinants of mental ill health, providing advice and referral to local support services.",South London and Maudsley NHS Foundation Trust,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055939-2026,2026-06-13T09:55:12.228311+00:00
FTS,ocds-h6vhtk-06b480_055938-2026,Request for Information – Oligonucleotides Onshoring,"1. The purpose of this document is to enhance the Authority’s understanding of the marketplace and its options for sourcing for a potential future requirement.
2. The issuance of this request for information (RFI) does not constitute a sourcing exercise nor will the Authority pay any costs incurred in the preparation of a response to this RFI.
3. The UK Health Security Agency’s (UKHSA) key objectives for this RFI are:
a. understand the ability of the marketplace to fulfil its requirements;
b. re",Secretary of State for Health and Social Care acting as part of the Crown through UK Health Security Agency,,1.0,GBP,2026-06-12,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/055938-2026,2026-06-13T09:55:12.228316+00:00
FTS,ocds-h6vhtk-06b47f_055937-2026,GLA Batteries,"Trinity House (TH), in its capacity as a GLA, is running an open procurement process to address the consolidated battery requirements for TH and Northern Lighthouse Board (NLB), with the aim of establishing a framework for the supply of Lead-Acid, GEL (VRLA) and AGM (VRLA), and Lithium batteries to these GLAs, including all specified battery interconnections, racking and lifting boxes, as required.  The framework will also address battery preparation services, in order to ensure that the publish",Trinity House,,1000000.0,GBP,2026-06-12,2026-07-15,tender,active,,https://www.find-tender.service.gov.uk/Notice/055937-2026,2026-06-13T09:55:12.228321+00:00
FTS,ocds-h6vhtk-054830_055936-2026,West Berkshire Highways Term Maintenance Contract,"West Berkshire Council is tendering a contract for the West Berkshire Highways Term Maintenance Contract 2026 – 2036 (7+3). The contract will deliver the statutory functions required of the Council as Highway Authority and ensures the Council’s roads and assets are maintained to a good standard. The highways contract is key for the Council to be seen by its residents, stakeholders and visitors across the region in being responsible and proactive, dealing with all matters affecting transport and ",West Berkshire Council,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055936-2026,2026-06-13T09:55:12.228332+00:00
FTS,ocds-h6vhtk-06b47d_055935-2026,The Provision of an Income Management System & Associated Services,"This is not a direct award notification. This notice informs the market that a Procurement Termination Notice (UK11) was published in error and that this procurement has progressed to the contract award stage. The UK11 notice was issued incorrectly due to an administrative error: https://www.find-tender.service.gov.uk/Notice/034724-2026?origin=Dashboard The Cabinet Office has been notified, a full audit trail maintained, and all suppliers who had registered for the tender were informed via the e",Leicester City Council,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055935-2026,2026-06-13T09:55:12.228338+00:00
FTS,ocds-h6vhtk-0606e8_055934-2026,Storage & Fulfilment for Participation,"The Corporate Officer of the House of Commons and The Corporate Officer of the House of Lords is seeking to appoint a suitable provider to store, manage and distribute publications, resources and other promotional items to the Parliamentary Estate and ad-hoc UK locations.",Corporate Officer of the House of Commons,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055934-2026,2026-06-13T09:55:12.228344+00:00
FTS,ocds-h6vhtk-050a69_055933-2026,COV - Hire of Plant with Operator (2026),"Hire of plant with operator, used predominately for Highways related works.
This notice replaces the UK6 notice that was issued on the 22nd May 2026.
Lot 5 received no bids.",Coventry City Council,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055933-2026,2026-06-13T09:55:12.228349+00:00
FTS,ocds-h6vhtk-0698c2_055932-2026,"Services for the Transfer, Management and Treatment of Green, Food, Bulky and Wood Waste","Buckinghamshire Council intends to procure a contract for the provision of waste management services, including the transfer, haulage, treatment and disposal of green, food, wood and bulky waste arising from kerbside collections, Household Recycling Centres (HRCs) and street scene services across the county.
The Authority is seeking to appoint a supplier or suppliers to deliver a high-quality, resilient and value for money service, aligned with statutory requirements, environmental objectives an",Buckinghamshire Council,,46399391.0,GBP,2026-06-12,2026-07-31,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/055932-2026,2026-06-13T09:55:12.228355+00:00
FTS,ocds-h6vhtk-06b47e_055931-2026,Clacton Town Hall Replacement Boilers and Building Management System,"Tendring District Council requires replacement boilers at Clacton Town Hall. This contract is for 2x replacement boilers (Hercules and Samson Boiler Houses), a new BMS, and 12 month rectification period.",Tendring District Council,,284000.0,GBP,2026-06-12,2026-07-10,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/055931-2026,2026-06-13T09:55:12.228360+00:00
FTS,ocds-h6vhtk-06b47e_055930-2026,Clacton Town Hall Replacement Boilers and Building Management System,"Tendring District Council requires replacement boilers at Clacton Town Hall. This contract is for 2x replacement boilers (Hercules and Samson Boiler Houses), a new BMS, and 12 month rectification period.",Tendring District Council,,284000.0,GBP,2026-06-12,2026-07-10,tender,active,,https://www.find-tender.service.gov.uk/Notice/055930-2026,2026-06-13T09:55:12.228363+00:00
FTS,ocds-h6vhtk-06b47d_055929-2026,The Provision of an Income Management System & Associated Services,"This is not a direct award notification. This notice informs the market that a Procurement Termination Notice (UK11) was published in error and that this procurement has progressed to the contract award stage. 
The UK11 notice was issued incorrectly due to an administrative error:
https://www.find-tender.service.gov.uk/Notice/034724-2026 
The Cabinet Office has been notified, a full audit trail maintained, and all suppliers who had registered for the tender were informed via the e-tendering port",Leicester City Council,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055929-2026,2026-06-13T09:55:12.228367+00:00
FTS,ocds-h6vhtk-06abbb_055928-2026,Holiday Playworks for Neath Port Talbot County Borough Council,"Neath Port Talbot County Borough Council is seeking to procure a suitably experienced provider to deliver a programme of high quality, inclusive staffed play sessions for children and young people during school holiday periods across Neath Port Talbot. 
The Service will be funded through the Welsh Government Holiday Playwork Project grant and will run over a two year contract period from July 2026 to March 2028, with funding of approximately £52,000 (excl. VAT) per annum. 
Provision must be deli",Neath Port Talbot County Borough Council,,104000.0,GBP,2026-06-12,2026-07-03,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/055928-2026,2026-06-13T09:55:12.228371+00:00
FTS,ocds-h6vhtk-06b47c_055927-2026,The Decision-Making Service  Support For Disabled  Persons Railcard,"We are seeking to appoint a Service Partner to manage an independent Decision-Making Service (DMS) function within the service that will provide decisions on a Disabled Persons Railcard applicant’s eligibility to purchase a DPRC according to eligibility criteria and rules. 
The service will focus exclusively on the review, validation, and outcome of DPRC applications, operating within the Rail Delivery Group’s (RDG) CRM infrastructure. 
This procurement does not include the provision of a custom",Rail Delivery Group,,,GBP,2026-06-12,2026-07-13,tender,active,,https://www.find-tender.service.gov.uk/Notice/055927-2026,2026-06-13T09:55:12.228379+00:00
FTS,ocds-h6vhtk-06b47b_055926-2026,Parental Support ADHD and Autism,"Harrow Council is seeking a provider to deliver practical parenting support for families of children with ADHD and Autism. The service will include support to help parents build confidence, understand their child's needs and improve family wellbeing.",London Borough of Harrow,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055926-2026,2026-06-13T09:55:12.228382+00:00
FTS,ocds-h6vhtk-06b47a_055925-2026,Valence Primary School Fire Safety,The Council and its ancillary arms (such as arm’s length bodies and/or wholly or partly owned subsidiaries and partner organisations) require a supplier for the Valence Primary School Fire Safety,London Borough of Barking and Dagenham,,,GBP,2026-06-12,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055925-2026,2026-06-13T09:55:12.228386+00:00
FTS,ocds-h6vhtk-06b479_055924-2026,Bayes MBA Student Elective Trips / International Trips,"City St George’s, University of London is seeking to appoint supplier(s) to support the delivery of international trips for Bayes Business School MBA programmes.
The requirement covers services relating to International Consultancy Week and International Electives, including programme design support, logistics, accommodation, local transport, meals, company visits, speakers, cultural activities, travel risk management, student support, visa guidance, incident response, account management, report","City St George's, University of London",,,GBP,2026-06-12,2026-07-17,tender,active,,https://www.find-tender.service.gov.uk/Notice/055924-2026,2026-06-13T09:55:12.228391+00:00
FTS,ocds-h6vhtk-055738_055923-2026,Emergency Services Network (ESN) End User Devices,"The procurement will contract for commercially available off‑the‑shelf (COTS) mobile communication devices to be developed by successful suppliers to meet ESN technical, security and public safety requirements, in order to achieve ESN certification.  
Individual contracts will be awarded for each device selected. For the avoidance of doubt, if a Bidder is awarded multiple contracts, a separate contract will have to be signed for each individual device.
The Authority intends to award contracts to",Home Office,,15000000.0,GBP,2026-06-12,,tender,active,,https://www.find-tender.service.gov.uk/Notice/055923-2026,2026-06-13T09:55:12.228395+00:00
