source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-068eb8_048322-2026,Agreement for the Partner Testing Point in Iraq,,British Council,,,GBP,2026-05-24,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/048322-2026,2026-05-24T09:20:31.035128+00:00
FTS,ocds-h6vhtk-06a260_048321-2026,Future of Safety Consultancy for the MHRA,"The Medicines and Healthcare products Regulatory Agency requires consultancy to help set the Agency’s internal roadmap for the
future state vigilance systems.
The Deliverables are as follows:
• Written minutes and notes from the Lightbox session, including follow up actions.
• Strategic narrative document, including vision and outline of initial Strategic Shifts, with the defining outcomes for each.
• Strategic shifts definition document, providing non-exhaustive examples of the risks, barriers,",MHRA,,,GBP,2026-05-24,,award,complete,,https://www.find-tender.service.gov.uk/Notice/048321-2026,2026-05-24T09:20:31.035156+00:00
FTS,ocds-h6vhtk-06a25f_048320-2026,Contract for the Provision of Additional Learning Needs (ALN) Holiday Childcare Support – Summer Holiday Pilot. ,"Provide a pilot service during the summer school holidays to assess and allocate additional support for children of full-time school age with emerging or identified Additional Learning Needs (ALN) to enable their attendance at childcare.  Enabling parent/carers to work, attend education or participate in training. ",City & County of Swansea,,150000.0,GBP,2026-05-23,2026-06-16,tender,active,,https://www.find-tender.service.gov.uk/Notice/048320-2026,2026-05-24T09:20:31.035166+00:00
Contracts Finder,ocds-b5fd17-5bdc629d-63dd-4a76-8792-8378865238db_676dec92-9320-4ed5-87e4-4771a88a77ee-898972,Visual and music tributes for funeral services held at Rushcliffe Oaks - Rushcliffe Borough Council,Visual and music tributes for funeral services held at Rushcliffe Oaks,Nottinghamshire County Council,,26300.0,GBP,2026-05-23,2025-03-17,award,complete,98370000,https://www.contractsfinder.service.gov.uk/Notice/676dec92-9320-4ed5-87e4-4771a88a77ee-898972,2026-05-24T09:20:33.932007+00:00
