source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-066011_060553-2026,North West (Predominantly Cumbria) Communal Cleaning Tender,"Home Group is seeking to appoint an experienced supplier to deliver its Communal Cleaning Services in the North West area (predominantly Cumbria) for its General Needs, Supported Services and some Leasehold Customers. ",Home Group,,500000.0,GBP,2026-06-28,2026-07-27,tender,active,,https://www.find-tender.service.gov.uk/Notice/060553-2026,2026-06-28T09:55:35.806938+00:00
FTS,ocds-h6vhtk-06beae_060552-2026,Energy Supply Demand Pool Manager,"Bristol City Council (BCC) is seeking a capable and committed Demand Pool Manager (DPM) to operate the demand-side of its Sleeved Pool electricity supply arrangement. This innovative model delivers locally generated, zero-carbon electricity to BCC, supporting the city's net zero ambitions and reducing exposure to wholesale market volatility.",Bristol City Council,,,GBP,2026-06-27,2026-08-25,tender,active,,https://www.find-tender.service.gov.uk/Notice/060552-2026,2026-06-28T09:55:35.806962+00:00
FTS,ocds-h6vhtk-06bead_060551-2026,2024-2027 Ormiston Families - 4-13 Therapeutic Services Contract,,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,,,GBP,2026-06-27,,awardUpdate,,85100000,https://www.find-tender.service.gov.uk/Notice/060551-2026,2026-06-28T09:55:35.806968+00:00
FTS,ocds-h6vhtk-06beac_060550-2026,ROOF CHILLER REPLACEMENT AT UCG PADDINGTON ,REPLACEMENT OF ROOF CHILLER UNITS AT PADDINGTON GREEN CAMPUS,United Colleges Group,,0.0,GBP,2026-06-27,2026-07-20,tender,active,,https://www.find-tender.service.gov.uk/Notice/060550-2026,2026-06-28T09:55:35.806974+00:00
