source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-068265_055945-2026,University Bus Service,"The University is looking to appoint one (1) supplier to deliver a pay-to-use, low-emission bus service providing reliable transport for staff and students travelling to and from the Egham campus. The contract shall commence on 1 September 2026, with full services commencing on the start of each autumn term, (21 September 2026 for Year 1). The initial contract term will be three (3) years, with two (2) optional twelve (12) month extensions to 2031.  The service will support the University’s aims",Royal Holloway and Bedford New College,,,GBP,2026-06-13,,tenderUpdate,,60100000,https://www.find-tender.service.gov.uk/Notice/055945-2026,2026-06-14T10:23:05.661843+00:00
FTS,ocds-h6vhtk-06b481_055944-2026,Cloud based academic timetabling system,"Cloud based academic timetabling system, with support",UNIVERSITY OF GLOUCESTERSHIRE,,,GBP,2026-06-13,,award,complete,48330000,https://www.find-tender.service.gov.uk/Notice/055944-2026,2026-06-14T10:23:05.661872+00:00
FTS,ocds-h6vhtk-05dec5_055943-2026,LED Lighting Fitment and Commission,,The Queen Elizabeth Conference Centre,,,GBP,2026-06-13,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/055943-2026,2026-06-14T10:23:05.661877+00:00
