source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06b2cf_055153-2026,PLA26072 Historic gardens phase 1 CMPs,"Assess the condition of Victoria Park in Paignton and Chapel Woods in Torquay, research their histories and produce fully costed Conservation Management Plans.",Torbay Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055153-2026,2026-06-11T11:21:23.518410+00:00
FTS,ocds-h6vhtk-06b2ce_055152-2026,Odsal Windows,Installation of composite fire doors and windows,City of Bradford Metropolitan District Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055152-2026,2026-06-11T11:21:23.518437+00:00
FTS,ocds-h6vhtk-05f86c_055151-2026,"Framework Agreement of Design, Management and Delivery of Capacity-Building and UK Artist Residency Programmes in Saudi Arabia and Bahrain","The supplier will work closely with British Council teams and with UK and local artists, cultural organisations and institutions to deliver activity under two core strands: 
1. Capacity-Building Programmes and 
2. UK Artist Residency Programmes. 
This is a Framework agreement and the use of the service will be based on demand.",BRITISH COUNCIL(THE),,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055151-2026,2026-06-11T11:21:23.518444+00:00
FTS,ocds-h6vhtk-06b2cd_055150-2026,UOECS0561802026,Provide interior design services from RIBA Stages 1 to 4,University of Exeter,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055150-2026,2026-06-11T11:21:23.518448+00:00
FTS,ocds-h6vhtk-06b2cc_055149-2026,STH Maintenance of BK Ultrasound System 2026-28,"STH Maintenance of BK Ultrasound System 2021-2026
(GE Healthcare took over BK Medical in Jan 2025)
S/N 5014662 BK3000 ULTRASOUND SYSTEM
S/N 3111880 20R3 ANORECTAL 3D TRANSDUCER
S/N 7216617 PRINTER START-UP KIT
COLORECTAL PROCEDURAL APPLICATION",Sheffield Teaching Hospitals NHS Foundation Trust,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055149-2026,2026-06-11T11:21:23.518452+00:00
FTS,ocds-h6vhtk-06b2cb_055148-2026,PMP 26 Beechwood Primary School - Roofing Works,To undertake roofing works at beechwood Primary School as part of the PMP schemes over the 6 week school holiday,Leeds City Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055148-2026,2026-06-11T11:21:23.518456+00:00
FTS,ocds-h6vhtk-05f7b2_055147-2026,Provision of Station End Equipment Maintenance and Support,,"The Police, Fire and Crime Commissioner for Northamptonshire",,,GBP,2026-06-11,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/055147-2026,2026-06-11T11:21:23.518460+00:00
FTS,ocds-h6vhtk-032d53_055146-2026,Microsoft Software VAR 26-27,Microsoft Enterprise Software Licences,Nuclear Decommissioning Authority,,,GBP,2026-06-11,,award,complete,48000000,https://www.find-tender.service.gov.uk/Notice/055146-2026,2026-06-11T11:21:23.518474+00:00
FTS,ocds-h6vhtk-06b2ca_055145-2026,WORKFORCE TECHNOLOGY SYSTEM / HEALTH ROSTER,WORKFORCE TECHNOLOGY SYSTEM / HEALTH ROSTER DIRECT AWARD UNDER THE LONDON PROCUREMENT PARTNERSHIP FRAMEWORK,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055145-2026,2026-06-11T11:21:23.518480+00:00
FTS,ocds-h6vhtk-06b2c8_055144-2026,Asbestos Removals and Abatement,"""Asbestos removal and abatement works across housing stock to meet statutory safety duties under the Control of Asbestos Regulations 2012 and Health and Safety at Work Act 1974.
The contract supports ongoing identification, removal, and management of asbestos-containing materials in council housing and related properties.""",London Borough of Lewisham,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055144-2026,2026-06-11T11:21:23.518484+00:00
FTS,ocds-h6vhtk-0655ba_055143-2026,Legal Services to The City of Liverpool College (Inclusive of Group Companies),"3.1	The appointed Legal Services Provider will be required to satisfy the Executive and the Board of Governors that they will provide an appropriate level of legal advice, guidance and support to ensure that the college group remains fully legally compliant in all aspects of its work. 
3.2	The Legal Services Provider of The City of Liverpool College and its Group will be appointed by the Corporation Board; the appointment will be for an initial period of 3 years with an optional further 1 x year",The City of Liverpool College,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055143-2026,2026-06-11T11:21:23.518490+00:00
FTS,ocds-h6vhtk-06b2c9_055142-2026,SPIDA and ibTB - Support & Maintainance (26/27),Standard break/fix support and essential maintenance services for APHA's bespoke web-based web-based GIS applications (ibTB and SPIDA),"DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055142-2026,2026-06-11T11:21:23.518494+00:00
FTS,ocds-h6vhtk-06b2c8_055141-2026,Asbestos Removal and Abatement works.,"""Asbestos removal and abatement works across housing stock to meet statutory safety duties under the Control of Asbestos Regulations 2012 and Health and Safety at Work Act 1974.
The contract supports ongoing identification, removal, and management of asbestos-containing materials in council housing and related properties.""",London Borough of Lewisham,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055141-2026,2026-06-11T11:21:23.518498+00:00
FTS,ocds-h6vhtk-06b2c7_055140-2026,Passenger Information Displays Stanley Bus Station,"Supply, install and maintain passenger information displays at Stanley Bus Station",Durham County Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055140-2026,2026-06-11T11:21:23.518501+00:00
FTS,ocds-h6vhtk-06b2c6_055139-2026,Y&S- Bulk Medical Gases- BOC B&S,Bulk Medical Gases for Bridlington and Selby,York Teaching Hospital Facilities Management LLP,,,GBP,2026-06-11,,award,complete,24111500,https://www.find-tender.service.gov.uk/Notice/055139-2026,2026-06-11T11:21:23.518505+00:00
FTS,ocds-h6vhtk-06b2c5_055138-2026,NHS GGC Radiotherapy Linac,"Greater Glasgow Health Board (more commonly known as NHS Greater Glasgow and Clyde) has identified a requirement for one (1) Linear Accelerator to replace ageing equipment which has reached the end of its recommended life expectancy at the Beatson Satellite, located at the University Hospital Monklands in Airdrie, Lanarkshire.",NHS Greater Glasgow and Clyde,,2800000.0,GBP,2026-06-11,2026-07-13,tender,active,33150000,https://www.find-tender.service.gov.uk/Notice/055138-2026,2026-06-11T11:21:23.518509+00:00
FTS,ocds-h6vhtk-06b2c4_055137-2026,Market research into illegal e-bikes,The West Yorkshire Vision Zero Partnership has appointed a Consultant to conduct market research to explore the use of and the reasons for use of illegal e-bikes in West Yorkshire. We would like to know who is using them and why. The research should also include what communication/practical interventions would be effective at reaching the target audience and creating behaviour change. By “illegal e-bike” we are specifically referring to illegally modified Electrically Assisted Pedal Cycle (EAPC),West Yorkshire Combined Authority,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055137-2026,2026-06-11T11:21:23.518539+00:00
FTS,ocds-h6vhtk-059ab0_055136-2026,City of York Council and North Yorkshire Council Joint Green Belt Assessment,"The Authority wishes to award a contract for an assessment of Green Belts in York and North Yorkshire (""the Contract"").
North Yorkshire Council (NYC), City of York Council (CYC) and the York and North Yorkshire Combined Authority (YNYCA) are working jointly on an assessment of Green Belts within their respective areas.
The assessment will provide evidence to support decision taking on planning applications and, if necessary, be used alongside further work to inform the preparation of Local Plans",City of York Council,,150000.0,GBP,2026-06-11,2026-06-29,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/055136-2026,2026-06-11T11:21:23.518546+00:00
FTS,ocds-h6vhtk-06b2c3_055135-2026,Secure messaging and file-sharing platform,"Secure messaging and file-sharing platform used to facilitate protected communication between CYC, external organisations, and members of the public. Beyond standard encryption",City of York Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055135-2026,2026-06-11T11:21:23.518552+00:00
FTS,ocds-h6vhtk-06a251_055134-2026,Health Security Campus  Pillar 2B: Cost Assurance Partner (CAP),"The Cost Assurance Partner (CAP) will provide specialist cost management and commercial assurance for the remobilised UKHSA Health Security Campus programme. The programme is being delivered through the Pillar 2 Construction Professional Services framework, which includes seven work packages (2A2G). This requirement relates specifically to Work Package 2B, covering cost assurance, cost control, and commercial oversight.
As part of Work Package 2B, the CAP will lead cost assurance activities acr",Secretary of State for Health and Social Care acting as part of the Crown through UK Health Security Agency,,,GBP,2026-06-11,,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/055134-2026,2026-06-11T11:21:23.518556+00:00
FTS,ocds-h6vhtk-06b2c2_055133-2026,UOECS0562272026,To carry out installation of gas control equipment required at Geoffrey Pope,University of Exeter,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055133-2026,2026-06-11T11:21:23.518559+00:00
FTS,ocds-h6vhtk-06b1d7_055132-2026,'Water Regulation - Adopting a supervisory approach to the Price Review',"Defra requires expert economic and regulatory advice to design the supervisory approach as it applies to economic regulation, ensuring it integrates effectively with existing frameworks and supports robust regulatory decision-making.","DEPARTMENT FOR ENVIRONMENT, FOOD AND RURAL AFFAIRS",,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055132-2026,2026-06-11T11:21:23.518563+00:00
FTS,ocds-h6vhtk-06b2c1_055131-2026,COR26018 VMWARE26,VMware software contract for Corporate IT Systems,Torbay Council,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055131-2026,2026-06-11T11:21:23.518566+00:00
FTS,ocds-h6vhtk-05a449_055130-2026,DN786997 Contract for services (RMS specialist),,Lancaster City Council,,,GBP,2026-06-11,,contractAmendment,,,https://www.find-tender.service.gov.uk/Notice/055130-2026,2026-06-11T11:21:23.518570+00:00
FTS,ocds-h6vhtk-06b2c0_055129-2026,BT Connectivity Legacy PSTN Lines,Legacy PSTN Lines Connectivity for Surrey,The Police and Crime Commissioner for Surrey,,,GBP,2026-06-11,,award,complete,,https://www.find-tender.service.gov.uk/Notice/055129-2026,2026-06-11T11:21:23.518573+00:00
FTS,ocds-h6vhtk-029a14_055128-2026,Multidisciplinary Design Team for The Vine 2023,,Peterborough City Council,,,GBP,2026-06-11,,awardUpdate,,71000000,https://www.find-tender.service.gov.uk/Notice/055128-2026,2026-06-11T11:21:23.518577+00:00
FTS,ocds-h6vhtk-06b2bf_055127-2026,Enterprise cyber security awareness and phishing simulation platform licence,"The London Borough of Camden is seeking proposals through a competitive flexible procedure process for the procurement of its Hoxhunt Enterprise cyber security awareness and phishing simulation platform licence.
Camden currently uses Hoxhunt as part of its cyber security and organisational resilience programme to improve staff awareness, reduce susceptibility to phishing attacks, and support compliance with cyber security best practice and regulatory obligations.
The current contract expires on ",London Borough of Camden,,150000.0,GBP,2026-06-11,,tender,active,,https://www.find-tender.service.gov.uk/Notice/055127-2026,2026-06-11T11:21:23.518581+00:00
FTS,ocds-h6vhtk-06b2be_055126-2026,NHS South Yorkshire ICB Barnsley Locally Enhanced Services Contract - St. George's Medical Centre,Provider is commissioned to deliver locally enhanced services for the Barnsley population integrated with their additional primary care contracts.,NHS South Yorkshire Integrated Care Board,,,GBP,2026-06-11,,award,complete,85121100,https://www.find-tender.service.gov.uk/Notice/055126-2026,2026-06-11T11:21:23.518586+00:00
