source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-051024_045930-2026,Two Stage tender for the provision of Pre-Construction Services and Construction Works for Andover Theatre,"A Competitive Flexible procurement for the pre-construction services and construction works for Andover Theatre. The existing Site is owned by the Authority. It included a vacant retail unit (Unit 62) which was last occupied by Poundstretcher. To support the construction of Andover's New Theatre, the Authority has let a separate contract for demolition of the existing unit, leaving a clear site ready for development. The new theatre will be the new home of The Lights, a successful, Authority ope",Test Valley Borough Council,,,GBP,2026-05-19,,award,complete,,https://www.find-tender.service.gov.uk/Notice/045930-2026,2026-05-19T16:49:45.162708+00:00
FTS,ocds-h6vhtk-069c4e_045929-2026,Employers Agent and Clerk of Works for Town Road Phase 3 Development,"*This is for information only, as the contract has been awarded* West Kent require Employer's Agent and Clerk of Works services to their development scheme known as Town Road Phase 3. This will be a below-threshold direct award to the preferred supplier, following successful delivery of services to the previous phase.",West Kent Housing Association,,,GBP,2026-05-19,,award,complete,,https://www.find-tender.service.gov.uk/Notice/045929-2026,2026-05-19T16:49:45.162733+00:00
FTS,ocds-h6vhtk-069c4d_045928-2026,Supply of 2 x 3.5 Tonne Panel Vans,Supply of two vans as per specification document,Shrewsbury Town Council,,,GBP,2026-05-19,2026-06-05,tender,active,,https://www.find-tender.service.gov.uk/Notice/045928-2026,2026-05-19T16:49:45.162739+00:00
FTS,ocds-h6vhtk-069c4c_045927-2026,Supply of 1 x 3.5T 4-Wheel Drive Vehicle,Per Tender document supply of one vehicle,Shrewsbury Town Council,,,GBP,2026-05-19,2026-06-05,tender,active,,https://www.find-tender.service.gov.uk/Notice/045927-2026,2026-05-19T16:49:45.162744+00:00
FTS,ocds-h6vhtk-067f68_045926-2026,Neighbourhood Health Community Prevention and Empowerment Programme,"North, Central and South Croydon
South West London Integrated Care Board (SWL ICB) - Croydon Place is inviting providers, voluntary and community sector organisations, social enterprises, primary care partners and other interested organisations to attend a pre-procurement online Market Engagement Event in relation to the forthcoming procurement of the:
Croydon Neighbourhood Health Community Prevention and Empowerment Programme
The programme represents a significant transition to integrated, loca",NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,,1801600.0,GBP,2026-05-19,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/045926-2026,2026-05-19T16:49:45.162748+00:00
FTS,ocds-h6vhtk-05217b_045925-2026,Care and Support Services within Extra Care Housing,"The Council is seeking to award a contract for the provision of care and support services for the following extra care accommodation settings:
• Haddington Vale
• Cherry Tree Gardens
Service requirements include Care and Support Services to individuals who are aged 18 years and over have been assessed by the Council as being eligible under the Care Act 2014 for care and support and whose care and support is fully or part funded by the Local Authority.
The service will be provided to tenants with",Sunderland City Council,,,GBP,2026-05-19,2026-06-17,tender,active,,https://www.find-tender.service.gov.uk/Notice/045925-2026,2026-05-19T16:49:45.162753+00:00
FTS,ocds-h6vhtk-069c4b_045924-2026,NHS Health Checks,"NHS Health Checks are a key national prevention programme, intended to identify and manage cardiovascular risk among eligible adults. However, delivery and uptake in Lancashire remains inconsistent, with significant variation between practices, including conversion from invitations to completed checks and changing administrative workloads. Many practices report low response rates to invitations due to lack of awareness of the NHS Health Check programme, high levels of non attendance, and substan",Lancashire County Council,,,GBP,2026-05-19,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/045924-2026,2026-05-19T16:49:45.162757+00:00
FTS,ocds-h6vhtk-06690e_045922-2026,Community Investigation Hubs,"Community Investigation Hubs form part of the network of Community Diagnostic Centres in Somerset with the aim of offering patients a wide range of diagnostic tests closer to home and greater choice as to where and how they are undertaken, reducing the need for hospital visits and potentially expediting the start of treatment.",SOMERSET NHS FOUNDATION TRUST,,,GBP,2026-05-19,,tenderUpdate,,85323000,https://www.find-tender.service.gov.uk/Notice/045922-2026,2026-05-19T16:49:45.162770+00:00
FTS,ocds-h6vhtk-0666c2_045921-2026,Supply of Miscellaneous Tyres,"West Yorkshire Police (WYP) have their own Transport Department which undertakes servicing and repairs to police vehicles including replacing worn and punctured tyres.
To complement an existing contract with Goodyear for their own brand tyres, for this contract Suppliers will be required to provide a variety of tyre brands, for both cars and motorcycles, to meet ad-hoc requirements. Based on historic data, the required range is likely to include, but not be strictly limited to, the following bra",West Yorkshire Combined Authority,,600000.0,GBP,2026-05-19,2026-06-08,tenderUpdate,active,,https://www.find-tender.service.gov.uk/Notice/045921-2026,2026-05-19T16:49:45.162776+00:00
FTS,ocds-h6vhtk-069c46_045920-2026,YORbuild4 Minor Works Contractors Framework Agreement West Area,"A Framework Agreement to serve all public sector bodies (and their statutory successors) and third sector organisations in the West Yorkshire.
The works involved are principally general building works and new housing, including contractors design when required. In addition some civil engineering works may also be included.
Principles of collaborative working and partnering will be key to the relationships under the framework.",Leeds City Council,,,GBP,2026-05-19,,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/045920-2026,2026-05-19T16:49:45.162780+00:00
FTS,ocds-h6vhtk-069c4a_045919-2026,Umbrella Crisis Payment Provider,"As part of the scheme guidance for the Crisis and Resilience Fund, there is a requirement to assess and administer crisis payments. 
Recommendation is to use an umbrella payment approach to enable the Local Welfare Provision and Crisis Payments Team to quickly support residents experiencing financial crisis. It ensures access to a range of payment options including energy vouchers, supermarket vouchers, goods in kind and other types of payments so that residents can be supported when
experiencin",Oldham Metropolitan Borough Council,,4400000.0,GBP,2026-05-19,,planning,planned,,https://www.find-tender.service.gov.uk/Notice/045919-2026,2026-05-19T16:49:45.162784+00:00
FTS,ocds-h6vhtk-069c49_045918-2026,YORbuild4 Medium Works Contractors Framework Agreement West Area,"A Framework Agreement to serve all public sector bodies (and their statutory successors) and third sector organisations in the Yorkshire and Humber region, Sheffield Local Enterprise Partnership region, Nottinghamshire, Derbyshire and areas of Leicestershire.
The works involved are principally general building works and new housing, including contractors design when required. In addition some civil engineering works may also be included. 
Principles of collaborative working and partnering will b",Leeds City Council,,400000000.0,GBP,2026-05-19,,planning,planned,,https://www.find-tender.service.gov.uk/Notice/045918-2026,2026-05-19T16:49:45.162788+00:00
FTS,ocds-h6vhtk-069c48_045917-2026,Preliminary Market Engagement - Rochdale Council Empty Homes and Leasing Programme,"The GMCA Council Empty Homes and Leasing Programme (Council EHLP) aims to bring in to use properties that have been empty for 6 months or more. The properties will be used to rehouse families who are currently living in Temporary Accommodation (TA) or at risk of moving into TA.
Rochdale Council has received a grant funding offer to deliver a minimum of 32 homes for the Council EHLP. The grant period commences 1st April 2026 and ends 31st March 2027.
The funding will be used to bring empty homes ",Rochdale Borough Council,,,GBP,2026-05-19,,planning,planning,,https://www.find-tender.service.gov.uk/Notice/045917-2026,2026-05-19T16:49:45.162792+00:00
FTS,ocds-h6vhtk-069c47_045916-2026,SSRO Security Assessment and Penetration Test,"The SSRO is seeking to appoint a supplier to provide a core programme of work surrounding Security Assessment and Penetration Test services. 
The Supplier is required to carry out in each year of the contract the core programme of work as detailed below.  
Phase 1: Security Assessment and Penetration Testing and reporting the results (one combined report or separate documents at Supplier discretion) as set out in the Service Specification.  
Phase 2: Liaising with the SSRO and the SSRO's IT Mana",Single Source Regulations Office,,41667.0,GBP,2026-05-19,2026-06-08,tender,active,,https://www.find-tender.service.gov.uk/Notice/045916-2026,2026-05-19T16:49:45.162796+00:00
