source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06aa4a_051395-2026,Transitional support for secondary aged pupils with Attention Deficit Hyperactivity Disorder (ADHD) / Autism Spectrum Condition (ASC),"The London Borough of Hillingdon awards for the provision of services to support Children with ADHD and autism who often find the transition from primary school to secondary school challenging as they move from a smaller, more nurturing learning environment to a much larger setting with far more people, and increased noise and sensory stimulation.  The scalable service model is to be implemented in all the mainstream academies and maintained secondary schools in the Borough so that more children",London Borough of Hillingdon,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051395-2026,2026-06-01T12:35:11.104689+00:00
FTS,ocds-h6vhtk-065f92_051394-2026,787SB Lift Maintenance & Refurbishment,"Fully comprehensive lift refurbishment and maintenance contract at Leeds Beckett University, covering the refurbishment and ongoing maintenance of lifts across the Leeds City and Headingley campuses.",Leeds Beckett University,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051394-2026,2026-06-01T12:35:11.104721+00:00
FTS,ocds-h6vhtk-05d6c3_051393-2026,Framework Agreement for the Provision of Grounds Maintenance Services across the County of Staffordshire,"Framework Agreement for the provision of Grounds Maintenance Services and Waterbody Management across regeneration sites, Corporate Properties and Household Waste Recycling Centres across the County of Staffordshire.
The Framework is for 2 years with two 12-month extension periods based on performance and is split into 11 separate lots",Staffordshire County Council,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051393-2026,2026-06-01T12:35:11.104727+00:00
FTS,ocds-h6vhtk-06aa49_051392-2026,Provision of a Mental Health Crisis House in Somerset,"The Trust is seeking to award a contract for the provision of a Mental Health Crisis House in Somerset. The successful provider will proactively manage and deliver all care and support required, within a residential setting based in Taunton or Yeovil.",Somerset NHS Foundation Trust,,2000000.0,GBP,2026-06-01,2026-06-29,tender,active,85144000,https://www.find-tender.service.gov.uk/Notice/051392-2026,2026-06-01T12:35:11.104735+00:00
FTS,ocds-h6vhtk-06aa48_051390-2026,Social Media CRM Tool,"Care Quality Commission (CQC) requires the provision of a social media CRM tool, delivered through the social media Hootsuite Enterprise Plan, including Hootsuite Advanced Analytics and Talkwalker Core media monitoring, and support services for 20 users.
Actual date signed: 21 April 2026",Care Quality Commission,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051390-2026,2026-06-01T12:35:11.104740+00:00
FTS,ocds-h6vhtk-06aa47_051389-2026,"Supported Living and Social Opportunities Framework - Learning Disability. Autism, Mental Health and Physical Disability - ASCHIW/2021/132*","Stoke-on-Trent City Council are looking to procure a Supported Living and Social Opportunities Framework.
The Services will enhance and support the wellbeing of individuals by improving the offer and quality of services available for local residents with a learning disability and/or autism who may show behaviour that can be challenges, and those with a mental health condition and physical disabilities, helping achieve their outcome and to stay safe.
**Year 2 & 3 Combined Reopening**
The supporte",Stoke on Trent City Council,,146200000.0,GBP,2026-06-01,2026-07-01,tender,active,85000000,https://www.find-tender.service.gov.uk/Notice/051389-2026,2026-06-01T12:35:11.104744+00:00
FTS,ocds-h6vhtk-0611e8_051388-2026,Safe Boarding of Sea Vessels training courses (MMO),"To deliver a week-long programme of theoretical and practical training to ensure all MMO seagoing staff are appropriately trained to perform their seagoing role safely and are assessed as capable of meeting safe working standards.
This project will ensure MMO can reach our ambitions. The project will assist the MMO in delivering an effective programme of offshore enforcement and will contribute to:
• delivering sustainable fishing opportunities,
• protecting marine habitats and species,
• provid",MARINE MANAGEMENT ORGANISATION,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051388-2026,2026-06-01T12:35:11.104751+00:00
FTS,ocds-h6vhtk-06aa46_051387-2026,Maintenance of Airedale Air Conditioning Units,The Provision of Service Maintenance of Airedale Air Conditioning Units (Large System Units) at York & Scarborough Teaching Hospitals NHS Foundation Trust.,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051387-2026,2026-06-01T12:35:11.104765+00:00
FTS,ocds-h6vhtk-05ee2c_051386-2026,DoJ – Probation Board for Northern Ireland – Personal Protective Equipment,"The Probation Board for Northern Ireland seeks to establish a contract for the supply and
delivery of Personal Protective Equipment (PPE) and Clothing.",Probation Board for Northern Ireland,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051386-2026,2026-06-01T12:35:11.104771+00:00
FTS,ocds-h6vhtk-06aa45_051385-2026,Electrical Relocation Works at Oldbury Fire House,Civil works to include laying a concrete pad and installing ducting. New distribution boxes and cabling to be installed and commissioned.,West Midlands Fire and Rescue Authority,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051385-2026,2026-06-01T12:35:11.104778+00:00
FTS,ocds-h6vhtk-06aa44_051384-2026,Waiver - BWC_RQ3 - Dedalus (DH OpCo UK Ltd) - Maintenance Contract,This service relates to the Telepath 1 (iLAB TP) maintenance and support Contract by Dedalus (DH OpCo UK Ltd),Birmingham Women's and Children's NHS Foundation Trust,,,GBP,2026-06-01,,award,complete,,https://www.find-tender.service.gov.uk/Notice/051384-2026,2026-06-01T12:35:11.104782+00:00
FTS,ocds-h6vhtk-069c06_051383-2026,National Ambulance Uniform,Non-exclusive framework agreement for the supply of National Ambulance Uniform and General Workwear items for Ambulance service personnel within the NHS,SUPPLY CHAIN COORDINATION LIMITED,,,GBP,2026-06-01,,planningUpdate,planned,,https://www.find-tender.service.gov.uk/Notice/051383-2026,2026-06-01T12:35:11.104786+00:00
