source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-06cc4f_086668-2026,Specialist Food and Drink Export Consultancy,"The requirement is to appoint up to six suppliers to deliver Specialist Food and Drink Export Consultancy and Trade Development Visits. Successful suppliers will deliver specialist export advisory support to Welsh-based food and drink business to develop their international sales, and to help maximise their chances of export success.",Llywodraeth Cymru / Welsh Government,,,GBP,2026-09-13,,award,complete,,https://www.find-tender.service.gov.uk/Notice/086668-2026,2026-09-13T12:31:02.903695+00:00
FTS,ocds-h6vhtk-06f8af_086667-2026,Rough Sleeping Prevention Service,"To prevent or minimise rough sleeping for people who are new to, or at imminent risk of rough sleeping on the streets in Bristol. To provide support to secure sustainable accommodation away from the streets or reconnection to another suitable place.",Bristol City Council,,,GBP,2026-09-13,,award,complete,,https://www.find-tender.service.gov.uk/Notice/086667-2026,2026-09-13T12:31:02.903720+00:00
FTS,ocds-h6vhtk-06af4f_086666-2026,Temporary Traffic Management 2026,"South Gloucestershire Council (SGC) requires a contractor to provide the Temporary Traffic Management on highway construction and maintenance schemes.
SGC is procuring a single supplier through an NEC4 Term Service Contract. This is to support the delivery of SGC’s programme of works in South Gloucestershire and the wider West of England Mayoral Authority (WEMCA) area. The contract will include the ability to raise Task Orders for the aforementioned services and additional services that fall wit",South Gloucestershire Council,,32000000.0,GBP,2026-09-12,,planning,planned,,https://www.find-tender.service.gov.uk/Notice/086666-2026,2026-09-13T12:31:02.903726+00:00
Contracts Finder,ocds-b5fd17-7bc371fa-5bd7-4d1b-822e-1e9b2c987132_a10e3b03-0e29-4a3a-a4f5-b703a8e0e51b-913868,CBC-1682-FA-LS-FC-65-ZH 5 Richard Street  - AWARD,"Further Competition through DFG Framework Lot 2 - Bespoke Works.
      CBC have appointed BSG Property Services to create a ramp and associated works at a local resident`s property.",Central Bedfordshire Council,,,GBP,2026-09-12,2026-07-03,award,complete,45000000,https://www.contractsfinder.service.gov.uk/Notice/a10e3b03-0e29-4a3a-a4f5-b703a8e0e51b-913868,2026-09-13T12:31:04.866488+00:00
