source,notice_id,title,description,organisation,value_low,value_high,currency,published_date,deadline,notice_type,status,cpv_codes,url,scraped_at
FTS,ocds-h6vhtk-0510f8_080115-2026,Space Technology Solutions,,Government Commercial Agency,,,GBP,2026-08-21,,award,,,https://www.find-tender.service.gov.uk/Notice/080115-2026,2026-08-22T07:28:11.274169+00:00
FTS,ocds-h6vhtk-06615a_080114-2026,Annual Report and Accounts - Creative and Design Agency,"The Crown Estate is seeking to appoint a creative agency to support the design, production and delivery of its Annual Report and Accounts together with associated supplementary reporting documents.
The appointed agency will collaborate closely with internal teams to deliver a clear, credible, and well structured Annual Report and Accounts that meets statutory and best practice reporting expectations.
The scope of work includes the Primary Annual Report and Accounts alongside three supplementary ",The Crown Estate,,615000.0,GBP,2026-08-21,2026-09-21,tender,active,,https://www.find-tender.service.gov.uk/Notice/080114-2026,2026-08-22T07:28:11.274201+00:00
FTS,ocds-h6vhtk-06ea03_080113-2026,TENDER FOR COLLECTION AND PROCESSING OF WASTE TIMBER REF: 2627 TNDR EP 004,"Fermanagh and Omagh District Council invites tenders from suitably qualified and experienced Service Providers for the collection, treatment, processing, and recycling/recovery of waste timber from Fermanagh and Omagh District Council in two Lots. This material is generated from domestic and commercial sources through the Council Recycling Centres. Lot 1 Collection, processing, treatment and recycling of material from Omagh Operations Centre Lot 2 Collection, processing, treatment and recycling ",Fermanagh and Omagh District Council,,222000.0,GBP,2026-08-21,2026-09-18,tender,active,,https://www.find-tender.service.gov.uk/Notice/080113-2026,2026-08-22T07:28:11.274220+00:00
FTS,ocds-h6vhtk-05d849_080112-2026,North Northamptonshire Council Local Bus Framework,"North Northamptonshire Council has developed a bus framework which will play a role in enhancing accessibility across North Northants. As a relatively new authority, this
framework aims to either replace services previously Procured by the former Northamptonshire County Council, and/or to introduce new services, with the potential for them to be commercially viable by the end of the contracts. This framework will be opened
in accordance with the requirements under the Procurement Act 2023 and al",North Northamptonshire Council,,,GBP,2026-08-21,,award,complete,,https://www.find-tender.service.gov.uk/Notice/080112-2026,2026-08-22T07:28:11.274225+00:00
FTS,ocds-h6vhtk-06ea02_080111-2026,Electrification Works at Huddersfield Depot,"As part of the introduction of the Weaver Network in West Yorkshire, the Combined Authority intends that electric buses will operate from the Huddersfield Depot for the purposes of providing local services under the West Yorkshire bus franchising scheme. The Combined Authority is currently negotiating purchase of depots, but the Operator is likely to have exclusive access to the depot prior to franchised services commencing and the Combined Authority requires that the Operator procure the electr",West Yorkshire Combined Authority,,,GBP,2026-08-21,,award,complete,,https://www.find-tender.service.gov.uk/Notice/080111-2026,2026-08-22T07:28:11.274230+00:00
FTS,ocds-h6vhtk-06b452_080110-2026,UKD Orca Dry Dock Requirement 2026,"ABP require a one off contract to conduct the biennial dry dock of UK Dredgings UKD Orca dredger, with dry dock to commence early September 2026, to coincide with the vessel’s MCA statutory certification.",ASSOCIATED BRITISH PORTS,,,GBP,2026-08-21,,award,complete,,https://www.find-tender.service.gov.uk/Notice/080110-2026,2026-08-22T07:28:11.274235+00:00
FTS,ocds-h6vhtk-06ea01_080109-2026,Electrification Works at Bradford Depot,"As part of the introduction of the Weaver Network in West Yorkshire, the Combined Authority intends that electric buses will operate from the Bradford Depot for the purposes of providing local services under the West Yorkshire bus franchising scheme. The Combined Authority is currently negotiating purchase of depots, but the Operator is likely to have exclusive access to the depot prior to franchised services commencing and the Combined Authority requires that the Operator procure the electrific",West Yorkshire Combined Authority,,,GBP,2026-08-21,,award,complete,,https://www.find-tender.service.gov.uk/Notice/080109-2026,2026-08-22T07:28:11.274239+00:00
FTS,ocds-h6vhtk-06ea00_080108-2026,BTA2186 Travel Management Solution,"Implement a functional and efficient Travel Management Solution, to streamline the booking process for all travel needs in one place including hotels, flights, trains and other required modes of transport, worldwide.",British Tourist Authority t/a VisitBritain/VisitEngland,,,GBP,2026-08-21,,award,complete,79997000,https://www.find-tender.service.gov.uk/Notice/080108-2026,2026-08-22T07:28:11.274252+00:00
FTS,ocds-h6vhtk-06e9ff_080107-2026,Mental Health Primary School Offer,"The aim of service is to provide an early mental health prevention offer for primary school aged children and their families. The service will enable staff to have the confidence to lead mental wellbeing sessions for children using the appropriate language and techniques as part of a whole school approach to mental health. This will include a professional development programme for school staff and ongoing support to embed the approach throughout the school curriculum.
The Council anticipates tha",Oxfordshire County Council,,800000.0,GBP,2026-08-21,2026-10-05,tender,active,,https://www.find-tender.service.gov.uk/Notice/080107-2026,2026-08-22T07:28:11.274258+00:00
FTS,ocds-h6vhtk-06e9fe_080106-2026,Staff Absence Insurance 26-27,"The Institution is seeking to appoint a Provider of absence protection and reimbursement services for a twelve-month period, commencing 01/09/2026 until 31/08/2026. Consideration will be given to contract renewal subject to agreement, the continuation of favourable terms, and overall contract value.  
Mersey View Learning Trust is a multi-academy trust based in Sefton, Merseyside, dedicated to delivering high quality education through collaboration, innovation and a shared commitment to improvin",MERSEY VIEW LEARNING TRUST,,240000.0,GBP,2026-08-21,2026-08-31,tender,active,,https://www.find-tender.service.gov.uk/Notice/080106-2026,2026-08-22T07:28:11.274264+00:00
